a,20415.27
aa,1.71
aaa,0.49
aah,52.71
aahed,0.02
aahing,0.04
aahs,0.1
aal,0.02
aardvark,0.41
aargh,0.65
aaron,14.65
aarrgh,0.02
aarrghh,0.02
aas,0.04
ab,1.47
aba,0.08
abaca,0.02
aback,0.29
abacus,0.24
abacuses,0.02
abaddon,0.2
abaft,0.04
abalone,0.51
abalones,0.12
abandon,8.1
abandoned,13.29
abandoner,0.02
abandoning,1.69
abandonment,0.96
abandons,0.27
abase,0.06
abastard,0.02
abate,0.1
abated,0.08
abatement,0.06
abates,0.04
abating,0.02
abattoir,0.14
abay,0.06
abb,0.06
abba,0.18
abbas,0.1
abbe,0.04
abbess,0.04
abbesses,0.02
abbey,3.18
abbot,0.84
abbott,7.86
abbreviate,0.02
abbreviated,0.31
abbreviation,0.24
abbreviations,0.2
abby,12.49
abc,2.43
abd,0.02
abdicate,0.18
abdicated,0.14
abdicates,0.02
abdicating,0.06
abdication,0.12
abdomen,3.35
abdomens,0.06
abdominal,3.41
abdominals,0.14
abduct,0.71
abducted,5.0
abductee,0.39
abductees,0.35
abducting,0.31
abduction,3.63
abductions,0.82
abductor,0.35
abductors,0.22
abducts,0.16
abeam,0.14
abed,0.2
abel,1.33
abele,0.02
abend,0.18
aberdeen,0.33
abernethy,0.02
aberrant,0.29
aberration,0.55
aberrations,0.16
abet,0.1
abetted,0.16
abetting,0.51
abettor,0.02
abeyance,0.04
abhor,0.24
abhorred,0.14
abhorrent,0.18
abhors,0.08
abide,2.71
abided,0.06
abiders,0.02
abides,0.08
abiding,0.49
abigail,3.02
abilene,1.33
abilities,6.12
ability,19.22
abiogenist,0.06
abit,0.02
abject,0.39
abjectly,0.06
abjure,0.02
ablate,0.02
ablated,0.02
ablation,0.02
ablaze,0.41
able,159.9
abler,0.02
ablest,0.04
abloom,0.06
ablution,0.06
ablutions,0.08
ably,0.18
abner,3.37
abnormal,2.9
abnormalities,0.49
abnormality,0.51
abnormally,0.39
abnormity,0.02
abo,0.12
aboard,26.63
abode,0.65
abogado,0.04
abolish,0.47
abolished,0.39
abolishes,0.02
abolishing,0.04
abolition,0.2
abolitionism,0.02
abolitionist,0.22
abolitionists,0.25
abomasum,0.02
abominable,0.63
abominably,0.16
abominate,0.06
abomination,1.14
abominations,0.14
aboriginal,0.18
aboriginally,0.02
aboriginals,0.02
aborigine,0.08
aborigines,0.18
aborning,0.02
abort,4.61
aborted,0.63
aborting,0.25
abortion,7.24
abortionist,0.08
abortionists,0.02
abortions,0.69
abortive,0.02
abortively,0.02
aborts,0.02
abound,0.35
abounded,0.06
abounding,0.08
abounds,0.2
about,3631.49
abouts,0.16
above,48.88
aboveboard,0.27
aboveground,0.14
abovementioned,0.02
abracadabra,1.04
abrade,0.02
abraded,0.1
abraham,5.18
abraid,0.02
abrasion,0.35
abrasions,1.1
abrasive,0.45
abrasiveness,0.04
abrasives,0.08
abraxas,0.57
abreaction,0.02
abreast,0.51
abridge,0.02
abridged,0.18
abridgement,0.02
abridging,0.04
abroad,4.9
abrogate,0.02
abrogated,0.04
abrogating,0.02
abrupt,1.14
abruption,0.12
abruptly,0.88
abruptness,0.08
abs,1.06
abscam,0.06
abscess,0.49
abscessed,0.06
abscesses,0.14
abscond,0.1
absconded,0.1
absconder,0.02
absconders,0.04
absconding,0.06
abseiling,0.02
absence,6.31
absences,0.27
absent,2.57
absentee,0.35
absenteeism,0.1
absentees,0.08
absentia,0.18
absenting,0.04
absentminded,0.06
absentmindedness,0.02
absinthe,0.55
absinthes,0.06
absinthium,0.02
absit,0.02
absolute,11.31
absolutely,113.12
absoluteness,0.02
absolutes,0.41
absolution,0.94
absolutions,0.02
absolve,0.57
absolved,0.29
absolver,0.08
absolves,0.08
absolving,0.1
absorb,1.98
absorbed,1.53
absorbent,0.16
absorber,0.06
absorbers,0.16
absorbing,0.45
absorbs,0.49
absorbtion,0.06
absorption,0.35
absorptions,0.02
abstain,0.51
abstained,0.08
abstainers,0.02
abstaining,0.16
abstains,0.04
abstention,0.12
abstentions,0.02
abstinence,0.88
abstinent,0.06
abstract,2.18
abstracted,0.06
abstracting,0.02
abstraction,0.29
abstractionist,0.02
abstractions,0.1
abstractly,0.04
abstracts,0.14
abstruse,0.06
absurd,9.71
absurdist,0.02
absurdities,0.12
absurdity,0.63
absurdly,0.29
abt,0.22
abu,2.57
abulia,0.02
abundance,0.88
abundant,0.57
abundantly,0.41
abuse,10.25
abused,4.53
abuser,0.31
abusers,0.22
abuses,0.49
abusing,1.2
abusive,1.63
abusiveness,0.02
abut,0.12
abutment,0.12
abutments,0.02
abuts,0.04
abutting,0.02
abuzz,0.04
abysmal,0.41
abysmally,0.02
abyss,1.76
abyssal,0.02
abysses,0.04
abyssinia,0.16
abyssinian,0.18
abyssus,0.08
ac,2.16
acacia,0.16
academe,0.04
academes,0.02
academia,0.24
academic,4.67
academically,0.22
academician,0.02
academics,0.69
academies,0.14
academy,12.41
acadia,0.06
acanthus,0.02
acapulco,1.61
acc,0.16
accademia,0.02
accadian,0.02
accede,0.14
acceded,0.02
accelerant,0.55
accelerate,1.27
accelerated,0.96
accelerates,0.1
accelerating,0.88
acceleration,0.86
accelerator,1.35
accelerators,0.08
accent,12.18
accented,0.02
accents,1.14
accentuate,0.35
accentuated,0.04
accentuates,0.08
accentuating,0.02
accept,52.78
acceptable,5.27
acceptance,3.16
acceptances,0.04
acceptant,0.02
accepted,15.71
accepting,4.04
accepts,2.08
access,31.67
accessed,1.53
accesses,0.04
accessibility,0.04
accessible,1.1
accessing,1.04
accession,0.12
accessories,1.49
accessorise,0.02
accessorize,0.35
accessorized,0.04
accessorizing,0.12
accessory,2.88
accident,81.29
accidental,3.0
accidentally,8.8
accidentals,0.02
accidently,0.22
accidents,6.67
acclaim,0.43
acclaimed,0.39
acclaims,0.04
acclamation,0.02
acclimate,0.16
acclimated,0.2
acclimates,0.02
acclimating,0.06
acclimatization,0.02
acclimatize,0.02
acclimatized,0.04
accolade,0.02
accolades,0.18
accommodate,2.14
accommodated,0.1
accommodates,0.06
accommodating,0.71
accommodation,0.94
accommodations,1.67
accommodative,0.02
accomodate,0.12
accompanied,2.06
accompanier,0.02
accompanies,0.25
accompaniment,0.29
accompanist,0.2
accompanists,0.02
accompany,4.75
accompanying,0.92
accompli,0.16
accomplice,4.24
accomplices,1.14
accomplish,5.84
accomplished,7.53
accomplishes,0.14
accomplishing,0.51
accomplishment,1.88
accomplishments,1.59
accord,1.63
accordable,0.02
accordance,1.59
accorded,0.14
according,41.86
accordingly,1.82
accordion,1.31
accordions,0.06
accords,0.18
accost,0.06
accosted,0.67
accosting,0.08
accosts,0.02
account,44.71
accountability,0.47
accountable,1.41
accountancy,0.06
accountant,6.18
accountants,1.08
accounted,3.02
accounting,4.51
accounts,10.47
accoutered,0.02
accoutre,0.02
accoutred,0.04
accoutrement,0.12
accoutrements,0.12
accra,0.08
accreditation,0.18
accredited,0.31
accrediting,0.02
accrete,0.02
accrual,0.04
accrue,0.08
accrued,0.25
accrues,0.02
accruing,0.04
accumulate,0.57
accumulated,0.76
accumulates,0.22
accumulating,0.35
accumulation,0.25
accumulations,0.02
accumulative,0.06
accumulator,0.02
accuracy,1.49
accurate,7.84
accurately,1.14
accursed,0.65
accusation,2.8
accusations,3.0
accusatory,0.06
accuse,5.69
accused,13.06
accuser,0.29
accusers,0.16
accuses,0.61
accusing,4.94
accustom,0.12
accustomed,2.92
ace,14.73
aced,0.76
acentric,0.02
acerbic,0.08
aces,3.96
acetabulum,0.04
acetaminophen,0.1
acetate,0.12
acetates,0.02
acetic,0.02
acetone,0.16
acetyl,0.04
acetylcholine,0.14
acetylene,0.45
acetylsalicylic,0.08
ach,0.75
achar,0.02
ache,2.49
ached,0.31
acher,0.04
acheron,0.49
aches,1.51
achievable,0.04
achieve,7.33
achieved,4.29
achievement,3.49
achievements,1.08
achiever,0.24
achievers,0.18
achieves,0.31
achieving,0.73
achilles,2.25
achiness,0.02
aching,2.06
achingly,0.04
achondroplasia,0.04
achoo,0.1
achy,0.45
acid,9.96
acidemia,0.04
acidic,0.22
acidity,0.2
acidizing,0.02
acidophilus,0.06
acidosis,0.16
acidotic,0.08
acids,0.82
acing,0.08
ack,0.57
ackee,0.02
acker,0.16
acknowledge,6.14
acknowledged,1.96
acknowledgement,0.41
acknowledgements,0.08
acknowledges,0.25
acknowledging,0.71
acknowledgment,0.51
acknowledgments,0.02
aclu,0.41
acme,1.25
acne,0.9
acnes,0.02
acolyte,0.14
acolytes,0.12
acoma,0.06
aconitum,0.08
acorn,0.73
acorns,0.37
acoustic,0.96
acoustical,0.12
acoustically,0.02
acoustics,0.43
acquaint,0.39
acquaintance,5.35
acquaintances,1.06
acquaintanceship,0.08
acquainted,4.53
acquainting,0.04
acquiesce,0.06
acquiesced,0.1
acquiescence,0.1
acquiescent,0.02
acquiescing,0.04
acquire,2.65
acquired,4.47
acquirer,0.02
acquires,0.16
acquiring,0.84
acquisition,1.45
acquisitions,0.65
acquisitive,0.06
acquisitiveness,0.02
acquit,0.47
acquittal,0.73
acquittals,0.02
acquitted,1.53
acquitting,0.12
acre,1.82
acreage,0.43
acres,4.59
acrid,0.04
acrimonious,0.14
acrimony,0.22
acrobat,0.59
acrobatic,0.24
acrobatics,0.22
acrobats,0.37
acromegalia,0.2
acromion,0.04
acronym,0.29
acronyms,0.14
acrophobia,0.2
acropolis,0.12
across,94.14
acrylic,0.45
acrylics,0.06
act,109.12
acta,0.02
acted,10.75
actg,0.02
actin,1.06
acting,52.45
actings,0.02
actinic,0.02
action,61.08
actionable,0.25
actioner,0.02
actions,12.16
activate,4.67
activated,4.31
activates,0.31
activating,0.86
activation,0.84
activator,0.08
active,11.45
actively,0.82
actives,0.02
activism,0.18
activist,0.98
activists,0.35
activities,8.61
activity,12.88
acton,0.24
actor,26.33
actors,12.63
actory,0.02
actress,16.02
actresses,2.25
acts,12.47
actu,0.02
actual,17.33
actualisation,0.04
actualised,0.02
actualities,0.02
actuality,0.47
actualization,0.06
actualize,0.04
actually,322.33
actuals,0.04
actuarial,0.18
actuarially,0.02
actuaries,0.02
actuary,0.14
actuate,0.02
actuated,0.06
actuating,0.02
actuation,0.02
actuator,0.04
actuators,0.04
acuity,0.27
acumen,0.14
acupressure,0.12
acupuncture,0.73
acupuncturist,0.18
acupuncturists,0.04
acute,2.94
acutely,0.27
acuteness,0.02
acyclovir,0.02
ad,13.61
adage,0.63
adages,0.02
adagio,0.24
adam,37.06
adamant,0.98
adamantine,0.02
adamantly,0.04
adamas,0.02
adams,9.22
adance,0.02
adapt,2.63
adaptability,0.14
adaptable,0.33
adaptation,1.59
adaptations,0.06
adapted,1.1
adapter,0.22
adapting,0.53
adaption,0.02
adaptive,0.22
adaptor,0.08
adaptors,0.02
adapts,0.06
adar,0.06
adc,0.14
add,33.06
added,9.65
addenda,0.04
addendum,0.29
addendums,0.08
adder,1.43
adders,0.04
addict,5.35
addicted,4.53
addicting,0.06
addiction,3.9
addictions,0.41
addictive,1.12
addictiveness,0.04
addicts,2.08
adding,4.02
addio,0.08
addis,0.2
addison,1.78
addition,7.75
additional,5.88
additionally,0.31
additions,0.22
additive,0.22
additives,0.2
addle,0.16
addled,0.22
addlepated,0.04
addling,0.02
addr,0.04
address,52.27
addressed,3.8
addressee,0.12
addresser,0.04
addresses,3.18
addressing,2.1
adds,3.94
adduce,0.02
adduced,0.02
adductor,0.02
ade,0.29
adelante,0.02
aden,0.12
adenia,0.02
adenine,0.04
adenocarcinoma,0.02
adenoid,0.1
adenoidal,0.02
adenoids,0.22
adenoma,0.02
adenopathy,0.02
adenosine,0.12
adept,0.65
adeptness,0.02
adepts,0.04
adequacy,0.02
adequate,2.59
adequately,0.53
adeste,0.06
adhere,0.57
adhered,0.12
adherence,0.18
adherent,0.06
adherents,0.02
adheres,0.06
adhering,0.18
adhesion,0.12
adhesions,0.14
adhesive,0.92
adhesives,0.02
adiabatic,0.02
adieu,1.84
adieus,0.02
adios,3.12
adipocere,0.12
adipose,0.08
adiposity,0.02
adjacencies,0.02
adjacent,1.33
adjective,0.49
adjectives,0.49
adjoined,0.02
adjoining,1.12
adjoins,0.1
adjoints,0.02
adjourn,1.29
adjourned,4.9
adjourning,0.04
adjournment,0.22
adjourns,0.04
adjudge,0.02
adjudged,0.06
adjudicate,0.1
adjudicated,0.12
adjudicating,0.02
adjudication,0.18
adjudicator,0.08
adjunct,0.14
adjure,0.02
adjust,5.63
adjustability,0.02
adjustable,0.31
adjusted,1.8
adjuster,0.39
adjusters,0.14
adjusting,2.37
adjustment,3.1
adjustments,1.39
adjustor,0.08
adjusts,0.18
adjutant,0.88
adjutants,0.02
adjuvant,0.02
adm,0.94
admin,0.43
administer,1.67
administered,1.49
administerial,0.02
administering,0.47
administers,0.12
administrate,0.04
administrates,0.02
administration,7.59
administrations,0.31
administrative,1.61
administrator,1.65
administrators,0.35
adminstration,0.02
admirable,2.61
admirably,0.41
admiral,16.57
admirals,0.57
admiralty,0.67
admiration,2.1
admire,14.16
admired,3.67
admirer,2.96
admirers,0.96
admires,0.51
admiring,2.76
admissibility,0.08
admissible,0.73
admission,3.55
admissions,2.18
admit,59.2
admits,2.06
admittance,0.67
admittances,0.04
admitted,9.16
admittedly,0.92
admittee,0.02
admittible,0.02
admitting,3.08
admixture,0.02
admonish,0.08
admonished,0.08
admonishing,0.04
admonishments,0.02
admonition,0.1
admonitions,0.02
adnexa,0.02
adnexal,0.04
ado,1.51
adobe,0.47
adolescence,0.86
adolescences,0.02
adolescent,1.84
adolescents,0.57
adolf,1.35
adolph,0.82
adonai,0.33
adonis,0.39
adopt,4.67
adoptable,0.02
adopted,8.43
adopter,0.02
adopting,1.18
adoption,4.69
adoptions,0.14
adoptive,0.59
adopts,0.22
adorability,0.02
adorable,10.53
adorableness,0.02
adorably,0.04
adoration,0.59
adore,7.73
adored,2.45
adorers,0.02
adores,1.78
adoring,0.69
adoringly,0.06
adorn,0.16
adorned,0.16
adorning,0.04
adornment,0.08
adornments,0.04
adorns,0.06
adrenal,0.31
adrenalectomy,0.04
adrenalin,0.55
adrenaline,3.29
adrenals,0.08
adrenochrome,0.12
adriatic,0.16
adrift,1.0
adroit,0.12
adroitly,0.06
adroitness,0.02
adrop,0.02
ads,5.06
adulation,0.27
adult,14.29
adulterant,0.02
adulterate,0.02
adulterated,0.02
adulterating,0.02
adulterer,0.39
adulterers,0.14
adulteress,0.25
adulterize,0.02
adulterous,0.33
adultery,1.94
adulthood,0.73
adults,9.57
adust,0.02
adv,0.02
advance,15.98
advanced,8.84
advancement,1.24
advancements,0.16
advances,2.9
advancing,1.49
advantage,22.06
advantaged,0.04
advantageous,0.39
advantages,2.82
advent,0.47
adventist,0.43
adventists,0.14
adventure,13.43
adventurer,0.73
adventurers,0.22
adventures,3.61
adventuresome,0.06
adventuress,0.22
adventuring,0.08
adventurist,0.02
adventurous,1.22
adventurousness,0.02
adverb,0.2
adverbial,0.06
adverbs,0.1
adversarial,0.24
adversaries,0.61
adversary,1.51
adverse,0.71
adversely,0.22
adversities,0.06
adversity,1.06
advert,0.25
adverted,0.02
advertently,0.02
advertise,1.65
advertised,1.02
advertisement,1.2
advertisements,0.49
advertiser,0.16
advertisers,0.47
advertises,0.14
advertising,7.43
adverts,0.08
advice,47.98
advices,0.06
advisable,0.78
advise,12.2
advised,5.24
advisedly,0.1
advisee,0.25
advisees,0.43
advisement,0.76
adviser,1.04
advisers,0.25
advises,0.47
advising,1.33
advisor,4.41
advisories,0.04
advisors,1.29
advisory,1.0
advocaat,0.06
advocacy,0.29
advocate,2.22
advocated,0.35
advocates,0.33
advocating,0.33
ae,0.47
aedes,0.02
aegean,0.37
aegis,0.1
aegisthus,0.14
aeneas,0.08
aeolian,0.02
aeon,0.49
aeons,0.02
aer,0.04
aerate,0.02
aerating,0.02
aeration,0.02
aerial,2.53
aerialist,0.02
aerials,0.18
aerie,0.02
