selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	paladianismo	7	15.48	12	0.03	1314.19	79.55	7			desconocido
2	deconstructivismo	41	90.68	81	0.19	962.18	449.14	6	Q238255		desconocido
3	pöppelmann	32	70.78	66	0.16	883.49	346.75	5			desconocido
4	googie	49	108.37	103	0.24	851.79	528.44	7	Q717220	2	generico
5	muqarna	33	72.99	79	0.19	673.42	344.54	10			desconocido
6	boullée	46	101.74	131	0.31	508.01	460.16	8			desconocido
7	mihrabs	12	26.54	35	0.08	489.76	119.34	6			desconocido
8	neorrús	5	11.06	15	0.04	469.36	49.38	5			desconocido
9	vastu	16	35.39	51	0.12	429.12	155.68	5			desconocido
10	iwán	37	81.83	125	0.29	394.68	354.90	9			desconocido
11	deconstructivista	39	86.26	132	0.31	393.65	373.91	6			desconocido
12	taut	51	112.80	176	0.41	382.99	486.63	9			desconocido
13	qibla	22	48.66	80	0.19	356.06	207.22	10			desconocido
14	terragni	20	44.23	77	0.18	329.37	185.74	6			desconocido
15	olgyay	9	19.91	37	0.09	301.73	82.23	5			desconocido
16	neoplasticismo	17	37.60	70	0.16	301.10	155.25	5			desconocido
17	berlage	26	57.50	113	0.27	280.53	234.25	5			desconocido
18	naryshkin	17	37.60	74	0.17	279.97	153.11	5			desconocido
19	historicismos	5	11.06	23	0.05	260.75	44.41	5			desconocido
20	gropius	138	305.22	688	1.62	235.53	1200.89	14			desconocido
21	ellora	22	48.66	111	0.26	232.04	190.86	5			desconocido
22	churrigueresco	9	19.91	46	0.11	228.33	77.82	5			desconocido
23	ciam	54	119.43	278	0.65	226.30	466.07	8			desconocido
24	banham	20	44.23	103	0.24	226.20	172.60	6			desconocido
25	deambulatorio	18	39.81	94	0.22	222.33	154.79	12			desconocido
26	reyner	13	28.75	70	0.16	214.09	110.91	5			desconocido
27	longhena	17	37.60	95	0.22	204.59	143.65	5			desconocido
28	eclecticismo	13	28.75	74	0.17	200.05	109.33	7			desconocido
29	scharoun	17	37.60	100	0.24	192.27	141.75	5			desconocido
30	neobizantino	28	61.93	166	0.39	190.46	232.99	5			desconocido
31	werkbund	39	86.26	232	0.55	189.69	324.24	8			desconocido
32	rastrelli	22	48.66	135	0.32	182.76	181.42	5			desconocido
33	hipóstila	6	13.27	37	0.09	181.69	49.41	6			desconocido
34	badami	16	35.39	102	0.24	174.64	130.62	5			desconocido
35	madrasa	98	216.75	693	1.63	154.61	778.17	13			desconocido
36	masjid	55	121.64	389	0.92	154.58	436.71	6			desconocido
37	palladiano	24	53.08	170	0.40	154.31	190.49	16			desconocido
38	rohe	109	241.08	775	1.82	153.63	864.25	22			desconocido
39	dominikus	8	17.69	57	0.13	153.26	63.40	6			desconocido
40	borromini	54	119.43	395	0.93	148.65	424.88	14			desconocido
41	prefabricación	12	26.54	88	0.21	148.22	94.35	10			desconocido
42	edificatoria	5	11.06	37	0.09	146.67	39.22	5			desconocido
43	tatlin	21	46.45	156	0.37	146.02	164.54	5			desconocido
44	mosque	73	161.46	552	1.30	143.06	569.21	18			desconocido
45	semicúpula	14	30.96	106	0.25	142.85	109.13	9			desconocido
46	arbotant	41	90.68	314	0.74	140.98	318.58	22			desconocido
47	rucabado	13	28.75	103	0.24	135.59	100.08	6			desconocido
48	neogriega	12	26.54	96	0.23	134.10	92.13	5			desconocido
49	archigram	9	19.91	72	0.17	134.10	69.10	6			desconocido
50	decorativismo	12	26.54	97	0.23	132.52	91.87	5			desconocido
51	racionalismo	221	488.79	1788	4.21	132.39	1691.51	36	Q2535546		desconocido
52	caravasar	22	48.66	178	0.42	132.38	168.38	7			desconocido
53	savoye	10	22.12	81	0.19	132.21	76.51	7			desconocido
54	gablet	19	42.02	157	0.37	129.24	144.58	10			desconocido
55	hipocausto	22	48.66	182	0.43	129.07	167.35	8	Q731794		desconocido
56	corbusier	204	451.19	1690	3.98	128.87	1551.18	34			desconocido
57	calefactor	16	35.39	133	0.31	128.37	121.55	7			desconocido
58	façade	17	37.60	143	0.34	126.65	128.72	11			desconocido
59	triforio	27	59.72	228	0.54	126.10	204.21	13			desconocido
60	maderno	29	64.14	245	0.58	126.03	219.31	7			desconocido
61	refrescamiento	7	15.48	60	0.14	123.98	52.72	6			desconocido
62	ledoux	60	132.70	525	1.24	121.12	449.31	12			desconocido
63	calefacción	20	44.23	180	0.42	117.34	148.58	11	Q11880006		desconocido
64	mogola	10	22.12	91	0.21	115.89	74.06	5			desconocido
65	bauhaus	196	433.50	1802	4.24	114.56	1447.35	26	Q124354		desconocido
66	latrobe	19	42.02	175	0.41	114.33	140.23	7			desconocido
67	tracería	78	172.51	723	1.70	113.52	574.65	26			desconocido
