selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	subdisciplinas	20	26.21	25	0.06	2222.95	227.88	20			desconocido
2	ciberantropología	11	14.41	14	0.03	2037.71	124.55	7	Q601854	2	muy_generico
3	tiflotecnología	12	15.72	26	0.06	476.35	115.89	6	Q3754239		desconocido
4	gesaku	7	9.17	16	0.04	432.24	66.61	5	Q1047433		desconocido
5	microeconómica	14	18.34	34	0.08	389.02	131.02	6			desconocido
6	generativismo	9	11.79	24	0.06	333.44	82.10	6			desconocido
7	papirologío	6	7.86	18	0.04	277.87	52.99	5	Q757248	5	especifico
8	ecdótica	7	9.17	22	0.05	259.34	61.04	5			desconocido
9	tesnière	5	6.55	20	0.05	185.25	40.78	5			desconocido
10	linguistik	12	15.72	49	0.12	180.24	97.31	6			desconocido
11	psicolingüístico	7	9.17	32	0.08	155.61	54.98	6	Q179488	2	muy_generico
12	lakoff	24	31.45	117	0.28	143.42	185.06	9			desconocido
13	microeconomía	54	70.76	272	0.64	137.66	412.46	15	Q39072	2	muy_generico
14	neurolingüística	13	17.03	66	0.16	136.31	99.07	5			desconocido
15	lingüística	171	224.07	873	2.05	135.37	1301.05	57			desconocido
16	monetarismo	18	23.59	93	0.22	133.38	136.48	6			desconocido
17	zellig	7	9.17	37	0.09	129.67	52.72	6			desconocido
18	rección	13	17.03	69	0.16	129.01	97.80	5			desconocido
19	microeconómico	37	48.48	198	0.47	127.72	277.68	20			desconocido
20	antropologío	5	6.55	27	0.06	126.30	37.43	5			desconocido
21	flexiva	14	18.34	84	0.20	111.15	101.58	6			desconocido
22	sinología	11	14.41	67	0.16	109.16	79.45	8			desconocido
23	estilística	20	26.21	125	0.29	105.85	143.34	5			desconocido
24	coase	26	34.07	163	0.38	105.47	186.17	7			desconocido
25	transformacional	25	32.76	159	0.37	103.68	178.24	12			desconocido
26	muqaddima	5	6.55	32	0.08	102.91	35.58	5			desconocido
27	sintagmático	12	15.72	80	0.19	98.07	84.34	9			desconocido
28	castelvetro	9	11.79	60	0.14	98.07	63.26	6			desconocido
29	codicología	6	7.86	41	0.10	95.27	41.85	5			desconocido
30	interaccionismo	11	14.41	77	0.18	92.62	76.17	6			desconocido
31	diacronía	9	11.79	63	0.15	92.62	62.32	6			desconocido
32	cournot	17	22.28	120	0.28	91.72	117.41	5			desconocido
33	subdisciplina	43	56.35	315	0.74	87.86	293.58	39			desconocido
34	selten	8	10.48	59	0.14	87.17	54.50	5			desconocido
35	vossler	13	17.03	96	0.23	87.04	88.53	5			desconocido
36	extralingüístico	9	11.79	69	0.16	83.36	60.58	8			desconocido
37	prosocial	19	24.90	149	0.35	81.22	126.98	6			desconocido
38	piaget	98	128.41	784	1.85	79.39	650.82	10			desconocido
39	criminología	73	95.66	597	1.41	77.42	481.41	15	Q161733	1	muy_generico
40	filologia	21	27.52	173	0.41	76.78	138.17	6			desconocido
41	colectivista	12	15.72	101	0.24	74.93	78.41	6			desconocido
