selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	constitutivos	9	33.91	38	0.09	496.44	91.24	5			desconocido
2	erga	10	37.67	60	0.14	319.93	93.56	6			desconocido
3	dación	6	22.60	38	0.09	299.93	55.43	5			desconocido
4	tfue	16	60.28	110	0.26	272.28	144.98	8			desconocido
5	consuetudinario	159	599.00	1186	2.79	247.65	1412.87	43			desconocido
6	hipoteca	42	158.23	321	0.76	240.80	371.03	9	Q184260		desconocido
7	fiqh	34	128.09	269	0.63	231.44	297.85	10	Q484181	2	generico
8	sufragismo	9	33.91	78	0.18	208.65	77.10	8			desconocido
9	imperativa	12	45.21	113	0.27	190.06	100.70	5			desconocido
10	shacer	24	90.41	233	0.55	183.69	199.87	6			desconocido
11	consuetudinaria	11	41.44	112	0.26	174.22	90.51	10			desconocido
12	derogada	9	33.91	93	0.22	171.39	73.78	8			desconocido
13	canonum	6	22.60	68	0.16	154.80	48.03	5			desconocido
14	canonici	11	41.44	125	0.29	154.35	87.99	5			desconocido
15	eutanasia	18	67.81	228	0.54	137.11	139.93	6			desconocido
16	derogar él	8	30.14	103	0.24	134.71	61.92	6			desconocido
17	enjuiciamiento	26	97.95	338	0.80	133.30	200.73	10			desconocido
18	jurisprudencial	21	79.11	274	0.64	132.78	161.97	14			desconocido
19	supletorio	14	52.74	195	0.46	123.73	106.09	9			desconocido
20	extracontractual	8	30.14	113	0.27	121.88	60.39	6			desconocido
21	shulján	12	45.21	183	0.43	112.25	88.70	6			desconocido
22	hipotecario	97	365.43	1555	3.66	106.42	707.11	9			desconocido
23	grocio	13	48.97	233	0.55	94.52	91.81	8			desconocido
24	kelsen	15	56.51	272	0.64	93.36	105.58	8			desconocido
25	usufructo	40	150.69	743	1.75	91.02	279.58	14	Q160474	3	especifico
26	fuero	110	414.40	2050	4.82	90.70	768.10	9	Q123550	2	generico
27	potestad	8	30.14	150	0.35	90.12	55.76	5			desconocido
28	omnes	9	33.91	169	0.40	89.98	62.71	6			desconocido
29	dispositivo	6	22.60	118	0.28	85.69	41.24	5			desconocido
30	civilis	18	67.81	368	0.87	82.27	122.31	10			desconocido
31	jurisprudencio	6	22.60	129	0.30	78.03	40.16	6	Q11022655		desconocido
32	sharia	27	101.72	606	1.43	74.59	178.37	8			desconocido
33	ordalía	8	30.14	180	0.42	74.40	52.81	6			desconocido
34	compilación	26	97.95	588	1.38	74.00	171.36	7			desconocido
35	disposiciones	9	33.91	207	0.49	72.71	59.01	6			desconocido
