selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	microeconómica	10	109.24	34	0.08	1933.47	127.67	5			desconocido
2	coase	26	284.02	163	0.38	880.65	296.02	7			desconocido
3	microeconómico	29	316.79	198	0.47	796.27	324.81	16			desconocido
4	selten	8	87.39	59	0.14	727.90	88.27	5			desconocido
5	input	26	284.02	285	0.67	465.82	265.07	6			desconocido
6	walras	20	218.48	242	0.57	418.05	199.78	5			desconocido
7	microeconomía	17	185.71	208	0.49	413.01	169.42	9	Q39072	1	generico
8	myerson	7	76.47	87	0.20	406.03	69.53	5			desconocido
9	oligopolio	18	196.63	249	0.59	361.58	174.80	8			desconocido
10	tversky	12	131.09	168	0.40	356.95	116.23	5			desconocido
11	kahneman	19	207.56	288	0.68	327.76	180.92	7			desconocido
12	externalidad	23	251.25	392	0.92	289.23	213.46	11			desconocido
13	jevons	11	120.16	219	0.52	245.40	98.59	6			desconocido
14	macroeconomía	16	174.78	369	0.87	210.33	138.60	11	Q39680	1	generico
15	economics	157	1715.06	3737	8.80	203.50	1349.94	30			desconocido
16	maximización	17	185.71	410	0.96	200.73	145.72	9			desconocido
17	macroeconómico	45	491.58	1220	2.87	177.71	375.04	20			desconocido
18	samuelson	13	142.01	429	1.01	145.01	103.18	6			desconocido
19	schumpeter	11	120.16	370	0.87	142.18	86.88	5			desconocido
20	decisions	8	87.39	282	0.66	135.48	62.43	6			desconocido
21	keynesiano	7	76.47	269	0.63	123.98	53.41	5			desconocido
22	pareto	16	174.78	708	1.67	107.29	117.56	10			desconocido
23	morgenstern	12	131.09	533	1.25	106.88	88.08	6			desconocido
24	superávit	16	174.78	744	1.75	101.99	115.97	6			desconocido
25	subdisciplina	6	65.54	315	0.74	90.10	42.03	5			desconocido
26	palgrave	20	218.48	1071	2.52	88.30	139.31	10			desconocido
27	maximizar	58	633.59	3290	7.74	83.27	397.35	20			desconocido
28	utilidad	199	2173.87	12105	28.49	77.56	1335.63	33			desconocido
29	indiferencia	36	393.26	2226	5.24	76.28	240.45	7			desconocido
30	economy	30	327.72	1868	4.40	75.74	199.96	12			desconocido
31	conductual	27	294.95	1714	4.03	74.27	178.92	8			desconocido
32	cesta	38	415.11	2503	5.89	71.53	249.03	5			desconocido
33	equilibrio	11	120.16	737	1.73	70.31	71.72	6			desconocido
34	crecimiento	19	207.56	1329	3.13	67.30	122.25	9			desconocido
35	consumidor	197	2152.02	14018	32.99	66.14	1260.82	33			desconocido
36	insumo	28	305.87	1997	4.70	65.99	179.07	12			desconocido
37	economic	61	666.36	4401	10.36	65.22	388.73	26			desconocido
38	pagos	6	65.54	441	1.04	64.00	38.02	5			desconocido
39	determinant	9	98.32	709	1.67	59.66	55.79	6			desconocido
40	supuesto	27	294.95	2153	5.07	58.93	166.71	13			desconocido
41	economista	174	1900.77	14023	33.00	58.30	1070.70	40			desconocido
42	abstract	19	207.56	1539	3.62	58.00	116.73	6			desconocido
43	optimización	42	458.81	3526	8.30	55.94	255.05	15			desconocido
44	exógeno	8	87.39	677	1.59	55.49	48.46	5			desconocido
45	transacción	99	1081.47	8692	20.46	53.46	592.44	24			desconocido
46	presupuestario	33	360.49	2959	6.96	52.33	196.11	10			desconocido
47	keynes	23	251.25	2067	4.86	52.22	136.58	10			desconocido
48	depreciación	7	76.47	637	1.50	51.56	41.40	6			desconocido
49	asimetría	15	163.86	1385	3.26	50.81	88.27	7			desconocido
50	desempleo	64	699.13	6092	14.34	49.27	372.80	10			desconocido
51	inflación	73	797.45	7018	16.52	48.78	423.79	19			desconocido
52	cooperativo	56	611.74	5526	13.01	47.51	322.23	13			desconocido
53	subcampo	6	65.54	593	1.40	47.43	34.51	6			desconocido
54	markets	6	65.54	622	1.46	45.20	33.94	6			desconocido
55	neumann	31	338.64	3267	7.69	44.45	174.37	7			desconocido
56	maynard	17	185.71	1805	4.25	44.12	95.37	6			desconocido
57	friedman	26	284.02	2791	6.57	43.63	145.30	8			desconocido
58	interrelación	11	120.16	1185	2.79	43.48	61.40	9			desconocido
59	incentivo	35	382.34	3777	8.89	43.40	195.24	21			desconocido
60	finance	13	142.01	1408	3.31	43.24	72.42	7			desconocido
61	ineficiencia	6	65.54	656	1.54	42.83	33.32	6			desconocido
62	banca	27	294.95	2959	6.96	42.73	149.79	8			desconocido
63	economía	298	3255.34	32711	76.99	42.66	1652.34	69			desconocido
64	bien	343	3746.91	37816	89.00	42.47	1898.91	47			desconocido
65	racional	82	895.76	9060	21.32	42.38	453.62	27			desconocido
66	curva	10	109.24	1134	2.67	41.28	54.81	5			desconocido
67	cualitativo	21	229.40	2432	5.72	40.42	114.23	11			desconocido
68	capitalista	39	426.03	4522	10.64	40.37	212.06	7			desconocido
69	evolutivo	71	775.60	8260	19.44	40.23	385.59	7			desconocido
70	nash	46	502.50	5383	12.67	40.00	249.29	8			desconocido
71	empírico	43	469.73	5101	12.01	39.45	231.89	17			desconocido
72	eficiencia	7	76.47	839	1.97	39.04	37.61	6			desconocido
73	marginal	60	655.44	7223	17.00	38.87	321.84	14			desconocido
74	subasta	59	644.51	7150	16.83	38.61	315.70	9			desconocido
75	ocde	15	163.86	1872	4.41	37.48	79.40	5			desconocido
