selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	heterótico	32	262.01	45	0.11	8560.82	467.79	7			desconocido
2	supercuerdas	7	57.32	17	0.04	2434.48	91.13	7			desconocido
3	supercuerda	51	417.58	173	0.41	1453.85	622.01	12			desconocido
4	sugra	5	40.94	18	0.04	1337.63	60.28	5			desconocido
5	supercarga	7	57.32	27	0.06	1217.24	83.27	5			desconocido
6	lagrangián	45	368.45	235	0.55	823.70	504.47	12			desconocido
7	deformabl	37	302.95	207	0.49	756.94	409.16	14			desconocido
8	gauge	39	319.33	227	0.53	721.47	427.89	9			desconocido
9	supersimetría	46	376.64	275	0.65	698.60	502.00	13			desconocido
10	bosónica	6	49.13	38	0.09	652.09	64.72	5			desconocido
11	bosónico	14	114.63	92	0.22	624.23	149.90	6			desconocido
12	perturbativo	17	139.19	120	0.28	574.01	179.40	7			desconocido
13	supersimétrico	16	131.01	115	0.27	562.07	168.22	8			desconocido
14	fermiónico	21	171.95	169	0.40	493.48	215.71	8			desconocido
15	maldacena	9	73.69	75	0.18	474.25	91.78	6			desconocido
16	viscoelástico	21	171.95	181	0.43	456.47	212.65	6			desconocido
17	sismología	30	245.64	276	0.65	424.13	299.64	11	Q83371	2	generico
18	supergravedad	12	98.25	117	0.28	397.47	118.39	8			desconocido
19	cuantización	33	270.20	324	0.76	394.39	325.08	6			desconocido
20	compresibl	9	73.69	89	0.21	391.26	88.52	6			desconocido
21	cromodinámica	21	171.95	213	0.50	380.39	205.44	8			desconocido
22	virial	6	49.13	68	0.16	336.56	57.30	5			desconocido
23	newtonián	43	352.08	491	1.16	333.81	409.99	14			desconocido
24	renormalización	16	131.01	201	0.47	300.79	149.37	8			desconocido
25	lagrangiano	10	81.88	139	0.33	269.60	91.26	6			desconocido
26	hidrodinámica	15	122.82	214	0.50	262.15	136.09	9			desconocido
27	fotoeléctrico	30	245.64	477	1.12	233.41	265.47	6			desconocido
28	schwinger	6	49.13	100	0.24	221.99	52.51	5			desconocido
29	relativista	106	867.91	1771	4.17	221.41	927.21	30			desconocido
30	electrodinámica	24	196.51	410	0.96	216.24	208.84	10			desconocido
31	coriolis	29	237.45	501	1.18	213.68	251.68	12			desconocido
32	macroscópica	13	106.44	236	0.56	202.74	111.50	9			desconocido
33	compresible	8	65.50	149	0.35	197.32	68.20	7			desconocido
34	bosón	65	532.21	1227	2.89	194.54	552.32	14			desconocido
35	newtoniano	21	171.95	397	0.93	194.24	178.38	9			desconocido
36	fermión	39	319.33	744	1.75	192.39	330.55	14			desconocido
