selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	suzeranía	5	51.88	11	0.03	3672.91	68.76	5			desconocido
2	micronación	33	342.41	269	0.63	616.30	353.68	5	Q188443	2	generico
3	república	6	62.26	83	0.20	343.44	57.65	6			desconocido
4	emirato	96	996.09	1335	3.14	341.50	921.36	5	Q189898	1	muy_generico
5	principesco	38	394.28	1027	2.42	169.35	313.05	9			desconocido
6	ducados	16	166.01	474	1.12	153.97	128.84	6			desconocido
7	polis	44	456.54	1475	3.47	135.52	343.33	5	Q148837	2	generico
8	principado	11	114.14	516	1.21	96.00	78.41	10	Q208500	1	muy_generico
9	secesión	39	404.66	1991	4.69	88.06	271.41	9			desconocido
10	imperios	16	166.01	842	1.98	85.38	110.38	6			desconocido
11	confesional	21	217.89	1251	2.94	75.25	139.69	7			desconocido
12	títere	19	197.14	1189	2.80	71.57	124.52	8			desconocido
13	transjordania	10	103.76	706	1.66	63.33	63.14	5			desconocido
14	ducado	168	1743.15	12003	28.25	62.57	1056.84	20	Q154547	1	muy_generico
15	formas	25	259.40	1791	4.22	62.39	157.13	23			desconocido
16	baden	70	726.31	5147	12.11	60.77	436.37	5			desconocido
17	repúblicas	18	186.77	1426	3.36	56.35	109.55	11			desconocido
18	germánica	9	93.38	773	1.82	51.92	53.34	5			desconocido
19	vasallo	8	83.01	741	1.74	48.10	46.22	5			desconocido
20	merovingio	7	72.63	663	1.56	47.03	40.14	5			desconocido
21	reinos	38	394.28	3841	9.04	44.04	213.03	9			desconocido
22	federados	9	93.38	942	2.22	42.52	49.84	6			desconocido
23	superpotencia	8	83.01	856	2.01	41.58	43.96	7			desconocido
24	soviéticas	9	93.38	977	2.30	40.98	49.19	6			desconocido
25	apartheid	24	249.02	2713	6.39	39.34	129.28	6			desconocido
26	franco	32	332.03	3862	9.09	36.82	168.28	8			desconocido
27	anexado	6	62.26	726	1.71	36.73	31.52	5			desconocido
