selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	piroxenos	6	115.35	18	0.04	4083.68	85.18	6			desconocido
2	hidrogeología	19	365.28	85	0.20	2351.21	251.99	9	Q179509	1	muy_generico
3	geologic	11	211.48	73	0.17	1449.05	136.30	6			desconocido
4	difracción	129	2480.05	1519	3.58	757.98	1441.46	8			desconocido
5	litológica	5	96.13	70	0.16	628.26	54.07	5			desconocido
6	cristalográfico	22	422.95	320	0.75	602.96	236.17	8			desconocido
7	bravais	6	115.35	91	0.21	576.52	63.89	6			desconocido
8	piroxeno	17	326.83	268	0.63	553.17	179.67	9			desconocido
9	tectónica	14	269.15	239	0.56	508.19	145.67	9			desconocido
10	litología	18	346.05	309	0.73	505.20	187.08	9	Q6538759	2	generico
11	subducir	9	173.03	168	0.40	462.30	91.99	7			desconocido
12	cristalografía	13	249.93	254	0.60	440.56	131.66	5	Q160398	2	generico
13	plutón	9	173.03	177	0.42	437.54	91.03	6			desconocido
14	petrográfico	5	96.13	107	0.25	400.36	49.71	5			desconocido
15	litosfera	21	403.73	467	1.10	384.56	207.13	6			desconocido
16	geofísico	40	769.01	904	2.13	378.12	393.21	6			desconocido
17	farallón	10	192.25	241	0.57	353.56	96.99	5			desconocido
18	metamorfismo	21	403.73	549	1.29	324.84	200.21	6			desconocido
19	subducción	48	922.81	1275	3.00	319.51	456.07	12			desconocido
20	metamórfica	28	538.31	780	1.84	304.10	263.33	11			desconocido
21	geotécnico	13	249.93	367	0.86	299.93	121.91	5			desconocido
22	ígnea	30	576.76	848	2.00	299.54	281.25	14			desconocido
23	tectónico	81	1557.24	2308	5.43	297.06	758.07	28	Q78125729		desconocido
24	estratigráfica	8	153.80	239	0.56	282.85	74.10	6			desconocido
25	estratigrafía	11	211.48	333	0.78	279.01	101.60	6	Q134783	1	muy_generico
26	magma	55	1057.39	1706	4.02	272.08	505.28	10			desconocido
27	ígneo	21	403.73	667	1.57	265.50	191.92	8			desconocido
28	disciplinas	10	192.25	322	0.76	261.77	91.11	9			desconocido
29	magmático	15	288.38	485	1.14	260.66	136.54	11			desconocido
30	geology	24	461.41	802	1.89	251.95	216.87	9			desconocido
31	sedimentaria	51	980.49	1726	4.06	248.68	459.53	21			desconocido
32	mineralogía	15	288.38	509	1.20	248.00	135.08	6	Q83353	1	muy_generico
33	estratigráfico	24	461.41	835	1.97	241.70	214.91	8			desconocido
34	placa	88	1691.82	3065	7.21	241.43	787.81	10			desconocido
35	mineralógico	8	153.80	288	0.68	233.35	71.08	7			desconocido
36	fosa	15	288.38	581	1.37	216.45	131.07	5			desconocido
37	radiométrico	6	115.35	266	0.63	188.48	50.80	5			desconocido
38	olivino	8	153.80	361	0.85	185.10	67.44	6			desconocido
39	metamórfico	12	230.70	542	1.28	184.92	101.14	6			desconocido
40	neógeno	6	115.35	288	0.68	173.77	49.84	5			desconocido
41	oceánica	40	769.01	1976	4.65	168.75	329.94	9			desconocido
42	monoclínico	12	230.70	601	1.41	166.40	98.65	6			desconocido
43	sedimentario	35	672.88	1778	4.18	164.00	286.73	18			desconocido
44	sísmica	12	230.70	645	1.52	154.83	96.95	8			desconocido
45	discordancia	8	153.80	434	1.02	153.38	64.48	5			desconocido
46	cristalino	95	1826.40	5376	12.65	146.92	757.70	15			desconocido
47	facies	10	192.25	570	1.34	145.85	79.61	5			desconocido
48	andesita	9	173.03	517	1.22	144.70	71.51	6			desconocido
49	basalto	35	672.88	2013	4.74	144.52	278.02	10			desconocido
50	rayos	91	1749.50	5316	12.51	142.24	720.00	9			desconocido
51	vulcanismo	14	269.15	820	1.93	141.86	110.70	10			desconocido
52	feldespato	9	173.03	536	1.26	139.48	70.86	5			desconocido
53	geomorfología	10	192.25	600	1.41	138.43	78.59	7			desconocido
54	arenisca	16	307.60	997	2.35	133.21	124.53	9			desconocido
55	mesozoico	10	192.25	625	1.47	132.80	77.77	7			desconocido
56	cristalización	15	288.38	951	2.24	130.89	116.22	9			desconocido
57	lutita	9	173.03	585	1.38	127.61	69.29	7			desconocido
58	geólogo	64	1230.41	4292	10.10	123.63	488.70	18			desconocido
59	cenozoico	8	153.80	539	1.27	123.05	61.01	6			desconocido
60	orogenia	10	192.25	675	1.59	122.82	76.23	6			desconocido
61	cuarcita	15	288.38	1021	2.40	121.78	114.09	6			desconocido
62	geología	48	922.81	3348	7.88	118.80	362.76	30	Q1069	0	raiz_de_dominio
63	prospección	25	480.63	1776	4.18	116.61	188.02	6			desconocido
64	cuaternario	14	269.15	1028	2.42	112.76	104.37	6			desconocido
65	plegamiento	14	269.15	1032	2.43	112.32	104.26	11			desconocido
66	oceánico	75	1441.89	5903	13.89	105.10	548.73	16			desconocido
67	hidrotermal	14	269.15	1129	2.66	102.55	101.75	7			desconocido
68	roca	513	9862.54	41529	97.74	102.15	3724.53	56			desconocido
69	geological	18	346.05	1465	3.45	101.60	130.49	8			desconocido
70	cocos	13	249.93	1123	2.64	95.65	92.70	7			desconocido
71	estrato	71	1364.99	6440	15.16	91.05	499.40	15			desconocido
72	nazca	16	307.60	1505	3.54	87.76	111.39	5			desconocido
73	isotópico	7	134.58	678	1.60	85.20	48.32	6			desconocido
74	relieve	6	115.35	586	1.38	84.49	41.32	5			desconocido
75	deformación	58	1115.06	5942	13.99	80.51	393.93	19			desconocido
76	silicato	13	249.93	1338	3.15	80.13	88.18	8			desconocido
77	sedimento	74	1422.67	7837	18.45	77.85	497.73	25			desconocido
78	erosionar	16	307.60	1725	4.06	76.46	107.05	8			desconocido
79	geomorfológico	6	115.35	657	1.55	75.28	39.96	5			desconocido
80	eruptivo	6	115.35	671	1.58	73.69	39.71	5			desconocido
81	sedimentación	14	269.15	1674	3.94	68.88	90.80	10			desconocido
82	subsuelo	28	538.31	3380	7.96	68.22	181.07	7			desconocido
83	volcánico	96	1845.62	11687	27.51	67.64	619.21	25			desconocido
84	corteza	106	2037.87	13091	30.81	66.67	680.70	25			desconocido
85	sísmico	37	711.33	4648	10.94	65.54	236.36	16			desconocido
86	dispersión	56	1076.61	7303	17.19	63.11	353.59	5			desconocido
87	neutrón	43	826.68	5734	13.50	61.71	269.61	8			desconocido
88	cristalizar	14	269.15	1895	4.46	60.79	87.37	9			desconocido
89	diqu	16	307.60	2182	5.14	60.33	99.61	5			desconocido
90	deposición	19	365.28	2658	6.26	58.80	117.33	11			desconocido
91	átomo	104	1999.42	14830	34.90	57.68	638.32	9			desconocido
92	intrusión	11	211.48	1581	3.72	57.22	67.34	5			desconocido
93	convergente	14	269.15	2032	4.78	56.66	85.44	7			desconocido
94	cristal	134	2576.18	20562	48.40	53.57	803.09	17			desconocido
95	manto	56	1076.61	8737	20.56	52.69	333.79	15			desconocido
96	dorsal	33	634.43	5284	12.44	51.33	195.01	5			desconocido
97	devónico	8	153.80	1295	3.05	50.77	47.10	6			desconocido
98	erosión	49	942.04	8129	19.13	49.53	286.15	23			desconocido
99	datación	27	519.08	4588	10.80	48.35	156.40	10			desconocido
100	plegado	7	134.58	1203	2.83	47.80	40.39	5			desconocido
101	estratificación	7	134.58	1218	2.87	47.21	40.22	6			desconocido
102	granate	7	134.58	1232	2.90	46.67	40.07	5			desconocido
103	deslizamiento	26	499.86	4771	11.23	44.75	146.69	10			desconocido
104	afloramiento	13	249.93	2443	5.75	43.69	72.74	6			desconocido
105	sílice	7	134.58	1329	3.13	43.25	39.03	5			desconocido
106	deformar	8	153.80	1525	3.59	43.07	44.54	6			desconocido
107	volcán	89	1711.04	17061	40.16	42.83	494.50	22			desconocido
108	planici	8	153.80	1545	3.64	42.51	44.33	6			desconocido
109	erosionado	8	153.80	1554	3.66	42.26	44.24	7			desconocido
110	exploration	7	134.58	1360	3.20	42.26	38.71	5			desconocido
111	magnesio	19	365.28	3706	8.72	42.09	104.92	8			desconocido
112	simetría	44	845.91	8903	20.95	40.56	239.82	6			desconocido
113	minerales	36	692.11	7287	17.15	40.55	196.19	9			desconocido
114	jurásico	23	442.18	4667	10.98	40.45	125.23	13			desconocido
115	basamento	10	192.25	2145	5.05	38.25	53.36	5			desconocido
116	espesor	33	634.43	7189	16.92	37.66	175.10	16			desconocido
117	erupción	51	980.49	11233	26.44	37.25	269.52	10			desconocido
118	topográfico	18	346.05	4005	9.43	36.87	94.77	10			desconocido
119	carbonífero	8	153.80	1783	4.20	36.81	42.09	5			desconocido
120	cráter	95	1826.40	21366	50.29	36.48	498.18	9			desconocido
121	deslizar	14	269.15	3176	7.48	36.16	73.18	5			desconocido
122	cuarzo	14	269.15	3181	7.49	36.10	73.14	10			desconocido
123	polvo	60	1153.51	13955	32.84	35.27	310.71	8			desconocido
124	glacial	9	173.03	2108	4.96	35.02	46.48	6			desconocido
125	marte	69	1326.54	16856	39.67	33.57	350.73	7			desconocido
126	hexagonal	13	249.93	3177	7.48	33.56	66.07	5			desconocido
127	oligoceno	6	115.35	1480	3.48	33.25	30.39	5			desconocido
128	lunar	49	942.04	12313	28.98	32.63	246.38	5			desconocido
129	morfología	26	499.86	6560	15.44	32.50	130.53	9			desconocido
130	geológico	9	173.03	2272	5.35	32.48	45.17	6			desconocido
131	correlación	19	365.28	4849	11.41	32.13	94.96	8			desconocido
132	cordillera	41	788.23	10684	25.15	31.46	203.26	9			desconocido
133	hidrocarburo	14	269.15	3731	8.78	30.76	68.80	7			desconocido
134	topografía	15	288.38	4004	9.42	30.71	73.66	12			desconocido
135	convección	13	249.93	3471	8.17	30.70	63.84	5			desconocido
136	mioceno	14	269.15	3778	8.89	30.38	68.46	6			desconocido
137	colisionar	7	134.58	1939	4.56	29.59	33.87	7			desconocido
138	electrón	54	1038.16	15045	35.41	29.42	260.71	5			desconocido
139	cretácico	29	557.53	8082	19.02	29.41	140.00	12			desconocido
140	deriva	20	384.50	5953	14.01	27.53	94.00	5			desconocido
141	meteorito	13	249.93	3911	9.21	27.24	60.83	6			desconocido
142	continental	100	1922.52	30652	72.14	26.73	464.36	17			desconocido
143	eoceno	7	134.58	2155	5.07	26.62	32.45	5			desconocido
144	superposición	9	173.03	2813	6.62	26.21	41.45	6			desconocido
145	macizo	7	134.58	2197	5.17	26.11	32.19	5			desconocido
146	cavidad	28	538.31	9173	21.59	25.01	126.43	5			desconocido
147	impureza	7	134.58	2318	5.46	24.74	31.46	5			desconocido
148	depositado	13	249.93	4309	10.14	24.71	58.41	6			desconocido
149	grieta	17	326.83	5716	13.45	24.36	75.91	9			desconocido
150	fractura	21	403.73	7080	16.66	24.30	93.67	11			desconocido
151	sismo	14	269.15	4745	11.17	24.17	62.30	6			desconocido
152	reflexión	43	826.68	14805	34.85	23.79	190.06	6			desconocido
153	onda	86	1653.37	29657	69.80	23.75	379.86	13			desconocido
154	depósito	79	1518.79	27384	64.45	23.63	348.16	21			desconocido
155	pliegue	10	192.25	3484	8.20	23.51	43.97	8			desconocido
156	magnético	47	903.59	16825	39.60	22.88	204.23	14			desconocido
157	geométrico	36	692.11	12952	30.48	22.76	156.09	5			desconocido
158	perpendicular	14	269.15	5088	11.98	22.54	60.43	6			desconocido
159	submarino	18	346.05	6584	15.50	22.39	77.47	10			desconocido
160	exploración	48	922.81	17621	41.47	22.31	206.26	14			desconocido
161	colisión	18	346.05	6675	15.71	22.08	77.00	8			desconocido
162	falla	8	153.80	2973	7.00	22.04	34.19	5			desconocido
163	depositar	27	519.08	10188	23.98	21.70	114.60	13			desconocido
164	cañón	10	192.25	4039	9.51	20.27	41.15	5			desconocido
165	sonda	22	422.95	8977	21.13	20.06	90.10	6			desconocido
166	microscopio	8	153.80	3269	7.69	20.04	32.74	6			desconocido
167	celda	31	595.98	12824	30.18	19.79	126.15	6			desconocido
168	rocoso	29	557.53	12195	28.70	19.47	117.11	18			desconocido
169	dureza	12	230.70	5144	12.11	19.10	48.02	6			desconocido
170	cúbico	9	173.03	3902	9.18	18.88	35.82	7			desconocido
171	tridimensional	12	230.70	5229	12.31	18.79	47.65	5			desconocido
172	capa	98	1884.07	42721	100.55	18.78	389.05	23			desconocido
173	medición	32	615.21	14072	33.12	18.62	126.51	10			desconocido
174	hemisferio	19	365.28	8407	19.79	18.50	74.89	5			desconocido
175	muestra	99	1903.30	44803	105.45	18.09	386.00	21			desconocido
176	molécula	44	845.91	19938	46.93	18.06	171.45	6			desconocido
177	atómico	25	480.63	11333	26.67	18.06	97.40	8			desconocido
178	estructural	37	711.33	17068	40.17	17.74	142.93	18			desconocido
179	terremoto	62	1191.96	28692	67.53	17.69	239.12	14			desconocido
180	conglomerado	10	192.25	4684	11.02	17.47	38.34	7			desconocido
181	desplazamiento	32	615.21	15295	36.00	17.12	121.47	16			desconocido
182	determinación	20	384.50	9670	22.76	16.93	75.48	8			desconocido
183	grosor	12	230.70	5809	13.67	16.91	45.26	8			desconocido
184	caracterización	9	173.03	4424	10.41	16.65	33.69	6			desconocido
185	acumulación	18	346.05	8858	20.85	16.63	67.34	9			desconocido
186	inclinado	15	288.38	7423	17.47	16.54	55.96	11			desconocido
187	cono	16	307.60	8001	18.83	16.37	59.37	8			desconocido
188	insular	11	211.48	5666	13.34	15.89	40.21	5			desconocido
189	petróleo	41	788.23	21170	49.83	15.85	149.68	13			desconocido
190	granito	15	288.38	7798	18.35	15.74	54.57	9			desconocido
191	lecho	15	288.38	8038	18.92	15.27	53.72	12			desconocido
192	polar	16	307.60	8893	20.93	14.72	56.21	7			desconocido
193	ángulo	47	903.59	26248	61.78	14.65	164.69	13			desconocido
194	formación	25	480.63	14099	33.18	14.51	87.14	7			desconocido
195	intensidad	35	672.88	19801	46.60	14.46	121.79	10			desconocido
196	compresión	14	269.15	7935	18.68	14.44	48.67	8			desconocido
197	survey	12	230.70	6857	16.14	14.32	41.53	5			desconocido
198	transversal	16	307.60	9154	21.55	14.30	55.34	9			desconocido
199	material	221	4248.77	128349	302.09	14.09	758.26	43			desconocido
200	meseta	22	422.95	12898	30.36	13.95	75.10	12			desconocido
201	método	149	2864.56	87628	206.24	13.91	507.75	19			desconocido
202	defecto	22	422.95	12994	30.58	13.85	74.79	5			desconocido
203	caliente	28	538.31	16642	39.17	13.76	94.87	13			desconocido
204	montañoso	33	634.43	19744	46.47	13.67	111.40	14			desconocido
205	radiación	28	538.31	16778	39.49	13.65	94.44	6			desconocido
206	rotación	26	499.86	15826	37.25	13.44	86.94	10			desconocido
207	química	21	403.73	12884	30.32	13.33	69.91	8			desconocido
208	subterráneo	32	615.21	19718	46.41	13.28	106.28	11			desconocido
209	aplicado	27	519.08	16918	39.82	13.06	88.84	8			desconocido
210	tierra	154	2960.68	96700	227.60	13.03	506.09	32			desconocido
211	marino	54	1038.16	33970	79.95	13.00	177.28	21			desconocido
212	fósil	16	307.60	10118	23.81	12.94	52.37	10			desconocido
213	patrón	65	1249.64	41190	96.95	12.91	212.51	11			desconocido
214	químico	70	1345.77	44432	104.58	12.89	228.65	23			desconocido
215	configuración	32	615.21	20534	48.33	12.75	103.88	7			desconocido
216	arcilla	15	288.38	9695	22.82	12.66	48.49	12			desconocido
217	ceniza	15	288.38	9902	23.31	12.39	47.91	7			desconocido
218	terrestre	54	1038.16	36061	84.87	12.25	171.33	30			desconocido
219	cresta	15	288.38	10110	23.80	12.14	47.34	6			desconocido
220	biología	17	326.83	11465	26.98	12.13	53.63	9			desconocido
221	profundidad	55	1057.39	37589	88.47	11.97	172.17	20			desconocido
222	estructura	232	4460.25	158979	374.18	11.94	725.11	42			desconocido
223	horizontal	28	538.31	19395	45.65	11.81	86.96	12			desconocido
224	textura	15	288.38	10472	24.65	11.72	46.37	6			desconocido
225	circundante	15	288.38	10491	24.69	11.69	46.32	11			desconocido
226	interacción	34	653.66	24336	57.28	11.43	103.56	14			desconocido
227	impacto	69	1326.54	49543	116.61	11.39	209.76	14			desconocido
228	hierro	47	903.59	33902	79.79	11.34	142.49	20			desconocido
229	planeta	68	1307.32	49118	115.61	11.32	205.98	19			desconocido
230	analizar	39	749.78	28187	66.34	11.32	118.09	15			desconocido
231	darwin	11	211.48	8036	18.91	11.20	33.09	5			desconocido
232	océano	50	961.26	36560	86.05	11.19	150.34	17			desconocido
233	sólido	37	711.33	27379	64.44	11.05	110.45	17			desconocido
234	orientación	30	576.76	22259	52.39	11.02	89.41	12			desconocido
235	yacimiento	33	634.43	25056	58.97	10.77	96.96	18			desconocido
236	óxido	11	211.48	8559	20.14	10.51	31.83	7			desconocido
237	hipótesis	29	557.53	22755	53.56	10.42	83.48	10			desconocido
238	desplazar	27	519.08	21207	49.91	10.41	77.68	15			desconocido
239	borde	47	903.59	37279	87.74	10.31	134.38	19			desconocido
240	rígido	12	230.70	9653	22.72	10.17	34.01	5			desconocido
241	variación	36	692.11	29447	69.31	10.00	100.93	11			desconocido
