selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	gesaku	7	6.58	16	0.04	309.80	61.97	5	Q1047433		desconocido
2	rhazes	10	9.40	35	0.08	159.33	78.04	8			desconocido
3	tschermak	5	4.70	21	0.05	124.47	36.93	5			desconocido
4	trepanación	35	32.89	157	0.37	114.27	253.29	7			desconocido
5	areteo	8	7.52	38	0.09	106.22	56.87	5			desconocido
6	erasístrato	11	10.34	63	0.15	84.26	73.68	5			desconocido
7	badiano	7	6.58	44	0.10	75.36	45.48	5			desconocido
8	muqaddima	5	4.70	32	0.08	73.76	32.30	5			desconocido
9	ruralización	12	11.28	77	0.18	73.54	77.44	11			desconocido
10	unterwalden	18	16.92	118	0.28	71.70	115.34	6			desconocido
11	coquinario	9	8.46	60	0.14	70.29	57.35	8			desconocido
12	herófilo	11	10.34	77	0.18	66.39	68.95	5			desconocido
13	apicius	5	4.70	35	0.08	66.39	31.34	5			desconocido
14	vesalio	28	26.32	197	0.46	65.99	175.20	10			desconocido
15	ictíneo	7	6.58	52	0.12	61.96	43.00	5			desconocido
16	augústulo	19	17.86	148	0.35	58.67	114.80	9			desconocido
17	natufiense	7	6.58	57	0.13	55.76	41.64	5			desconocido
18	pacioli	19	17.86	167	0.39	51.14	110.01	5			desconocido
19	trevithick	11	10.34	100	0.24	49.23	62.92	5			desconocido
20	odoacro	56	52.63	516	1.21	48.49	318.74	9			desconocido
21	papado	76	71.43	716	1.69	47.30	429.09	8			desconocido
22	veyne	9	8.46	88	0.21	45.38	50.12	5			desconocido
23	hicso	28	26.32	274	0.64	45.34	155.89	7			desconocido
24	mayoriano	17	15.98	174	0.41	43.13	93.08	6			desconocido
25	samhita	9	8.46	98	0.23	40.28	48.14	6			desconocido
26	brézhnev	80	75.19	872	2.05	40.23	427.70	7			desconocido
27	berzelius	22	20.68	251	0.59	38.27	115.57	5			desconocido
28	burgundio	18	16.92	208	0.49	37.74	94.09	5			desconocido
29	jōmon	23	21.62	270	0.64	37.09	119.49	6			desconocido
30	coadyuvó	6	5.64	71	0.17	36.77	31.07	5			desconocido
31	periodización	27	25.38	326	0.77	35.97	138.73	12			desconocido
32	febvre	12	11.28	148	0.35	35.15	61.14	8			desconocido
33	dominado	6	5.64	74	0.17	35.15	30.57	6			desconocido
34	andrópov	14	13.16	178	0.42	34.00	70.47	5			desconocido
