selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	arrandale	14	28.73	14	0.03	9999.00	189.58	5	Q2345193		desconocido
2	brouter	5	10.26	5	0.01	9999.00	67.71	5	Q796956	3	generico
3	dualdigital	12	24.62	15	0.04	3483.28	147.49	5	Q3689266	5	especifico
4	magsafe	19	38.99	24	0.06	3309.11	232.73	9	Q1329193		desconocido
5	mram	31	63.61	41	0.10	2699.54	374.25	7	Q1061546	3	generico
6	vcore	22	45.14	30	0.07	2394.75	263.13	6			desconocido
7	negcon	15	30.78	21	0.05	2177.05	178.00	5	Q1052041	5	especifico
8	gddr	14	28.73	20	0.05	2031.91	165.16	8	Q1543359	6	muy_especifico_hoja
9	wolfdale	13	26.68	19	0.04	1886.78	152.35	5			desconocido
10	airpods	54	110.80	79	0.19	1880.97	632.66	5	Q26936286		desconocido
11	microprocessor	45	92.34	67	0.16	1781.22	524.58	11			desconocido
12	superdisk	20	41.04	30	0.07	1741.64	232.66	6	Q517919	3	generico
13	macbooks	10	20.52	15	0.04	1741.64	116.33	8			desconocido
14	multiómica	6	12.31	9	0.02	1741.64	69.80	6	Q25110691	3	generico
15	emac	29	59.51	45	0.11	1578.36	334.16	7	Q306273		desconocido
16	jedec	50	102.60	80	0.19	1451.37	571.28	24			desconocido
17	retín	17	34.88	28	0.07	1345.81	192.70	12			desconocido
18	dimm	6	12.31	10	0.02	1306.23	67.80	5	Q877592	2	generico
19	microcontrollers	6	12.31	10	0.02	1306.23	67.80	5			desconocido
20	trackpad	19	38.99	32	0.08	1272.74	214.08	7			desconocido
21	sdram	269	551.97	465	1.09	1195.16	3009.90	48	Q746478	5	especifico
22	nforce	67	137.48	118	0.28	1144.02	745.97	11	Q308573		desconocido
23	gwennap	9	18.47	16	0.04	1119.62	99.96	6			desconocido
24	ibook	34	69.77	62	0.15	1057.42	375.10	8	Q305889		desconocido
25	isight	23	47.19	42	0.10	1054.15	253.65	17			desconocido
26	sgram	15	30.78	28	0.07	1004.79	164.47	9			desconocido
27	hypertransport	65	133.38	127	0.30	912.96	704.33	12			desconocido
28	disqueteras	10	20.52	20	0.05	870.82	107.71	9			desconocido
29	lectograbadoro	5	10.26	10	0.02	870.82	53.85	5			desconocido
30	microprocesadores	145	297.53	296	0.70	836.22	1553.59	126			desconocido
31	multitáctil	13	26.68	27	0.06	808.62	138.67	13			desconocido
32	apuntadores	10	20.52	21	0.05	791.65	106.37	10			desconocido
33	speedstep	10	20.52	21	0.05	791.65	106.37	7			desconocido
34	turion	17	34.88	36	0.08	779.15	180.45	7			desconocido
35	epyc	24	49.25	51	0.12	774.06	254.53	5	Q33083031		desconocido
36	transcriptómica	15	30.78	32	0.08	768.37	158.92	6			desconocido
37	clarkdale	14	28.73	30	0.07	761.97	148.16	5	Q1623419		desconocido
38	recordable	7	14.36	15	0.04	761.97	74.08	5			desconocido
39	macbook	75	153.90	165	0.39	725.68	788.42	18	Q486053		desconocido
40	hyperthreading	18	36.93	40	0.09	712.49	188.74	11			desconocido
41	allwinner	18	36.93	41	0.10	681.51	187.57	6			desconocido
42	dualsense	13	26.68	30	0.07	665.92	135.02	7	Q89695113	5	especifico
43	synchronous	28	57.45	65	0.15	659.00	290.38	19			desconocido
44	rdram	21	43.09	49	0.12	653.11	217.50	7	Q875237	6	muy_especifico_hoja
45	anandtech	18	36.93	42	0.10	653.11	186.43	11			desconocido
46	pentium	554	1136.77	1315	3.10	633.95	5713.30	68			desconocido
47	superdrive	29	59.51	70	0.16	615.95	297.81	10	Q1193976		desconocido
48	kaby	19	38.99	46	0.11	612.80	194.97	6			desconocido
49	rambus	19	38.99	46	0.11	612.80	194.97	11			desconocido
50	monoplaca	7	14.36	17	0.04	609.57	71.78	7			desconocido
51	regrabable	18	36.93	44	0.10	602.87	184.27	14			desconocido
52	multichip	7	14.36	18	0.04	554.16	70.76	7			desconocido
53	hynix	17	34.88	44	0.10	548.29	171.56	9			desconocido
54	uart	46	94.39	121	0.28	534.10	462.34	21	Q280409		desconocido
55	microfónico	11	22.57	29	0.07	532.17	110.50	6			desconocido
56	nvram	11	22.57	29	0.07	532.17	110.50	8			desconocido
57	grababl	20	41.04	53	0.12	527.77	200.65	13			desconocido
58	dualshock	67	137.48	181	0.43	511.80	668.95	13	Q1262565	5	especifico
59	iomega	44	90.29	119	0.28	510.88	439.18	6			desconocido
60	freescale	62	127.22	172	0.40	490.83	614.94	20			desconocido
61	ultrasparc	23	47.19	64	0.15	488.51	227.95	6	Q2641407		desconocido
62	ryzen	62	127.22	177	0.42	469.49	610.56	6			desconocido
63	powervr	29	59.51	83	0.20	467.66	285.40	12			desconocido
64	xscale	30	61.56	86	0.20	466.51	295.13	9			desconocido
65	periféricos	68	139.53	197	0.46	459.04	667.20	58			desconocido
66	iphone	157	322.15	457	1.08	455.73	1538.62	48			desconocido
67	xserve	23	47.19	68	0.16	445.09	224.53	8			desconocido
68	nehalem	29	59.51	86	0.20	443.05	282.89	13			desconocido
69	dram	200	410.39	594	1.40	442.04	1950.22	49	Q189396	4	especifico
70	faggin	29	59.51	87	0.20	435.41	282.07	6			desconocido
71	microservicio	18	36.93	54	0.13	435.41	175.08	5			desconocido
72	svcd	16	32.83	48	0.11	435.41	155.63	7			desconocido
73	multinúcleo	15	30.78	45	0.11	435.41	145.90	5			desconocido
74	cardioide	12	24.62	36	0.08	435.41	116.72	7			desconocido
75	coldfire	11	22.57	33	0.08	435.41	106.99	5			desconocido
76	imation	8	16.42	24	0.06	435.41	77.81	7			desconocido
77	trackball	6	12.31	18	0.04	435.41	58.36	6	Q20140	3	generico
78	grabable	17	34.88	52	0.12	422.97	164.55	14			desconocido
79	skylake	16	32.83	49	0.12	422.22	154.83	8	Q1058943		desconocido
80	transmeta	11	22.57	34	0.08	416.48	106.20	5			desconocido
81	disquete	9	18.47	28	0.07	412.49	86.75	7	Q5293	2	generico
82	multiprocesamiento	29	59.51	91	0.21	407.32	278.93	14			desconocido
83	phenom	57	116.96	179	0.42	406.86	548.13	11			desconocido
84	hololens	20	41.04	63	0.15	405.03	192.18	6			desconocido
85	netburst	15	30.78	50	0.12	373.21	142.11	9			desconocido
86	microcontroladores	22	45.14	74	0.17	368.42	207.96	17			desconocido
87	powermac	8	16.42	27	0.06	366.66	75.56	6			desconocido
