selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	microservicio	18	63.76	54	0.13	752.00	194.70	5			desconocido
2	geoingeniería	9	31.88	33	0.08	564.00	93.06	6			desconocido
3	crispr	115	407.35	422	0.99	563.39	1188.85	9			desconocido
4	geotecnia	11	38.96	51	0.12	413.60	107.84	6	Q1349130	2	muy_generico
5	biorremediación	31	109.81	166	0.39	345.36	293.96	6	Q816441	2	muy_generico
6	radioafición	20	70.84	109	0.26	337.98	188.87	5	Q185727		desconocido
7	cybernetics	14	49.59	102	0.24	239.27	123.39	5			desconocido
8	walkman	26	92.10	202	0.48	222.18	225.59	5	Q622493	5	especifico
9	reproductores	29	102.72	237	0.56	209.69	248.49	22			desconocido
10	cogeneración	28	99.18	251	0.59	188.84	234.45	6	Q221620	3	generico
11	criptografía	100	354.22	919	2.16	183.64	832.07	11	Q8789	2	muy_generico
12	cryptography	13	46.05	122	0.29	179.38	107.60	7			desconocido
13	criptosistema	10	35.42	96	0.23	174.88	82.29	5			desconocido
14	fotovoltaico	225	797.00	2212	5.21	170.31	1840.29	15			desconocido
15	biomaterial	20	70.84	203	0.48	164.37	162.24	7			desconocido
16	risc	73	258.58	763	1.80	159.12	587.72	9	Q189376		desconocido
17	criptográfica	25	88.56	271	0.64	152.85	199.37	10			desconocido
18	geotécnico	32	113.35	367	0.86	143.67	251.44	7			desconocido
19	biocompatibl	8	28.34	93	0.22	141.55	62.64	5			desconocido
20	dolby	121	428.61	1450	3.41	136.93	939.75	11			desconocido
21	surround	34	120.43	416	0.98	133.86	262.60	8	Q569874		desconocido
22	endonucleasa	14	49.59	176	0.41	129.98	107.34	5			desconocido
23	ingenieril	9	31.88	127	0.30	114.71	66.86	7			desconocido
24	silvícola	9	31.88	133	0.31	109.16	66.01	5			desconocido
25	dimensionamiento	7	24.80	106	0.25	106.34	50.99	7			desconocido
26	lossless	7	24.80	108	0.25	104.24	50.72	7			desconocido
27	criptográfico	72	255.04	1129	2.66	102.45	519.33	16			desconocido
28	radiocomunicación	20	70.84	316	0.74	101.62	143.95	7			desconocido
29	shuffle	36	127.52	575	1.35	100.45	258.31	5			desconocido
30	tegra	9	31.88	146	0.34	98.80	64.29	5			desconocido
31	electromecánico	53	187.74	867	2.04	97.93	377.70	13			desconocido
32	nist	38	134.60	624	1.47	97.53	270.51	9			desconocido
33	optimization	19	67.30	325	0.76	93.39	133.67	5			desconocido
34	freescale	10	35.42	172	0.40	92.84	70.24	5			desconocido
35	robótica	50	177.11	863	2.03	92.50	350.85	18	Q170978	3	generico
36	dock	9	31.88	156	0.37	92.08	63.08	5			desconocido
37	tocadisco	37	131.06	642	1.51	91.98	259.23	8	Q17591720	7	muy_especifico_hoja
38	biorreactor	14	49.59	246	0.58	90.76	97.73	5			desconocido
39	modelamiento	6	21.25	112	0.26	85.13	41.15	5			desconocido
40	fonógrafo	34	120.43	642	1.51	84.11	232.37	5	Q116434	6	especifico
41	ingeniería	1672	5922.57	31790	74.82	83.49	11403.58	163	Q11023	0	raiz_de_dominio
42	classic	8	28.34	161	0.38	78.64	53.64	5			desconocido
43	cableado	10	35.42	220	0.52	71.62	65.25	5			desconocido
44	concentrador	20	70.84	446	1.05	70.61	129.96	8			desconocido
45	fisicoquímico	8	28.34	179	0.42	70.36	51.93	7			desconocido
46	nano	67	237.33	1513	3.56	69.69	433.65	11			desconocido
47	microcontrolador	29	102.72	671	1.58	67.94	186.28	12			desconocido
48	tracción	19	67.30	446	1.05	66.92	121.49	5			desconocido
49	confiabilidad	55	194.82	1303	3.07	66.28	350.67	16			desconocido
50	subdisciplina	13	46.05	315	0.74	64.74	82.30	8			desconocido
51	biónica	12	42.51	291	0.68	64.69	75.95	5			desconocido
52	tetra	15	53.13	366	0.86	64.27	94.75	5			desconocido
53	marconi	73	258.58	1791	4.22	63.91	460.31	5			desconocido
54	bits	20	70.84	497	1.17	63.06	125.60	12			desconocido
55	sintonización	6	21.25	151	0.36	62.23	37.53	5			desconocido
56	transceptor	10	35.42	255	0.60	61.39	62.28	5			desconocido
57	silvicultura	35	123.98	894	2.10	61.28	217.86	10	Q720362		desconocido
58	multicanal	16	56.68	418	0.98	59.86	98.87	8			desconocido
59	telegrafía	7	24.80	185	0.44	59.15	43.09	6			desconocido
60	robotics	16	56.68	429	1.01	58.27	98.04	5			desconocido
61	mecatrónica	16	56.68	432	1.02	57.85	97.82	8	Q180165	2	muy_generico
62	modularidad	10	35.42	273	0.64	57.19	60.91	5			desconocido
63	firewire	7	24.80	194	0.46	56.30	42.43	5			desconocido
64	termoiónico	6	21.25	167	0.39	56.05	36.32	5			desconocido
65	engineering	166	588.01	4681	11.02	55.30	1000.41	57			desconocido
66	sintonizador	10	35.42	285	0.67	54.69	60.05	8			desconocido
67	requirements	9	31.88	258	0.61	54.36	53.94	6			desconocido
68	rankine	10	35.42	288	0.68	54.10	59.84	6			desconocido
69	alternador	20	70.84	580	1.37	53.71	119.41	5			desconocido
70	plásmido	25	88.56	752	1.77	51.72	147.44	5			desconocido
71	byte	29	102.72	878	2.07	51.37	170.66	13			desconocido
72	inalámbrica	35	123.98	1067	2.51	51.01	205.48	16			desconocido
73	conversor	12	42.51	383	0.90	48.65	69.36	5			desconocido
74	maquinaria	8	28.34	258	0.61	48.13	46.07	6			desconocido
75	electroquímico	31	109.81	1017	2.39	47.29	177.47	6			desconocido
76	módem	37	131.06	1216	2.86	47.20	211.69	6			desconocido
77	realimentación	14	49.59	463	1.09	46.90	79.93	5			desconocido
78	biomédico	45	159.40	1490	3.51	46.84	256.80	15			desconocido
79	cibernética	14	49.59	465	1.09	46.69	79.81	8			desconocido
80	algorithm	14	49.59	472	1.11	45.97	79.39	5			desconocido
81	neural	10	35.42	338	0.80	45.85	56.66	5			desconocido
82	fosforilar	10	35.42	342	0.80	45.30	56.42	5			desconocido
