selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	gesaku	7	43.41	16	0.04	2048.33	88.35	5	Q1047433		desconocido
2	generativismo	9	55.81	24	0.06	1580.14	110.03	6			desconocido
3	ecdótica	7	43.41	22	0.05	1229.00	82.76	5			desconocido
4	tesnière	5	31.00	20	0.05	877.86	56.28	5			desconocido
5	linguistik	12	74.41	49	0.12	854.13	134.51	6			desconocido
6	psicolingüístico	7	43.41	32	0.08	737.40	76.67	6	Q179488	1	muy_generico
7	neurolingüística	13	80.61	66	0.16	645.97	139.33	5			desconocido
8	lakoff	23	142.62	117	0.28	644.38	246.41	8			desconocido
9	zellig	7	43.41	37	0.09	614.50	74.40	6			desconocido
10	rección	13	80.61	69	0.16	611.36	138.05	5			desconocido
11	lingüística	163	1010.73	873	2.05	604.61	1727.71	52			desconocido
12	flexiva	14	86.81	84	0.20	526.71	144.90	6			desconocido
13	estilística	20	124.02	125	0.29	501.63	205.22	5			desconocido
14	sintagmático	12	74.41	80	0.19	464.75	121.45	9			desconocido
15	transformacional	23	142.62	159	0.37	445.38	230.98	11			desconocido
16	vossler	13	80.61	96	0.23	412.49	128.71	5			desconocido
17	filologia	21	130.22	173	0.41	363.85	203.02	6			desconocido
18	contrastivo	14	86.81	120	0.28	347.83	134.17	8			desconocido
19	aullón	25	155.02	215	0.51	346.52	239.41	6			desconocido
20	gramaticalización	6	37.20	53	0.12	336.20	57.12	5			desconocido
21	velar	17	105.41	151	0.36	334.11	161.63	5			desconocido
22	oracional	18	111.61	165	0.39	322.48	169.94	8			desconocido
23	dialectología	33	204.63	307	0.72	317.18	310.53	10	Q146893	1	muy_generico
24	articulatorio	20	124.02	193	0.45	304.46	186.66	7			desconocido
25	extralingüístico	7	43.41	69	0.16	297.34	65.02	6			desconocido
26	alofónico	6	37.20	61	0.14	287.30	55.34	6			desconocido
27	cognitive	58	359.65	638	1.50	263.36	525.40	10			desconocido
28	lexicón	6	37.20	66	0.16	263.36	54.35	5			desconocido
29	diacrónico	24	148.82	267	0.63	260.11	216.84	17			desconocido
30	psicolingüística	10	62.01	113	0.27	255.69	90.02	9			desconocido
31	alófono	62	384.45	703	1.65	254.73	557.71	11			desconocido
32	generativo	83	514.66	989	2.33	241.27	738.03	25			desconocido
33	chomsky	101	626.28	1262	2.97	229.10	888.12	23			desconocido
34	pragmática	12	74.41	154	0.36	222.56	104.85	5			desconocido
35	sintáctica	37	229.43	489	1.15	215.58	321.05	20			desconocido
36	generativa	7	43.41	101	0.24	196.12	59.47	5			desconocido
37	morfema	78	483.66	1128	2.65	195.64	662.30	19			desconocido
38	gramático	20	124.02	299	0.70	188.79	168.45	11			desconocido
39	palatalización	22	136.42	330	0.78	188.11	185.14	5			desconocido
40	gramática	5	31.00	76	0.18	185.46	41.94	5	Q8091	1	muy_generico
41	discourse	34	210.83	522	1.23	183.49	284.51	5			desconocido
42	sociolingüística	21	130.22	323	0.76	183.13	175.65	14			desconocido
43	lexema	23	142.62	356	0.84	181.90	192.08	6			desconocido
44	semántica	35	217.03	546	1.29	180.38	291.73	17			desconocido
45	semivocal	12	74.41	193	0.45	174.60	99.27	6			desconocido
46	cognición	84	520.87	1361	3.20	173.23	693.61	17			desconocido
47	refrán	76	471.26	1249	2.94	170.63	625.33	7			desconocido
48	phonetics	6	37.20	100	0.24	168.10	49.20	5			desconocido
49	linguistics	112	694.49	1896	4.46	165.34	914.74	29			desconocido
50	sociolingüístico	20	124.02	339	0.80	165.11	163.29	10	Q160845	1	muy_generico
51	linguistique	19	117.81	324	0.76	164.06	154.89	7			desconocido
52	syntax	19	117.81	340	0.80	155.88	153.02	8			desconocido
53	fonética	18	111.61	331	0.78	151.45	143.96	13			desconocido
54	fonología	13	80.61	260	0.61	138.61	101.75	11	Q40998	1	muy_generico
55	polisemia	6	37.20	122	0.29	136.22	46.76	5			desconocido
56	átona	8	49.61	166	0.39	133.35	62.01	5			desconocido
57	filológico	46	285.24	975	2.29	130.40	354.60	12			desconocido
58	lachmann	9	55.81	192	0.45	129.52	69.26	5			desconocido
59	flexivo	12	74.41	257	0.60	128.99	92.25	8			desconocido
60	sintagma	65	403.05	1411	3.32	127.18	497.91	20			desconocido
61	halliday	26	161.22	568	1.34	126.33	198.83	9			desconocido
62	comparatística	8	49.61	176	0.41	125.41	61.06	6			desconocido
63	semántico	196	1215.35	4351	10.24	124.23	1492.48	65	Q39645	1	muy_generico
64	preposicional	13	80.61	289	0.68	124.04	98.95	9			desconocido
65	linguistic	32	198.43	712	1.68	123.93	243.52	13			desconocido
66	léxica	24	148.82	563	1.33	117.26	180.07	16			desconocido
67	saussure	57	353.44	1340	3.15	117.00	427.41	12			desconocido
68	fonológico	55	341.04	1298	3.06	116.53	411.98	23			desconocido
69	hermenéutica	13	80.61	308	0.72	116.06	97.28	9			desconocido
70	morfosintáctico	7	43.41	166	0.39	115.94	52.37	6			desconocido
71	benjamins	13	80.61	309	0.73	115.66	97.19	9			desconocido
72	ligamiento	9	55.81	214	0.50	115.62	67.28	7			desconocido
73	fónico	9	55.81	215	0.51	115.06	67.19	8			desconocido
74	jakobson	11	68.21	265	0.62	114.05	81.94	7			desconocido
75	constituyent	68	421.65	1681	3.96	111.02	502.98	16			desconocido
76	aproximante	8	49.61	198	0.47	110.89	59.15	6			desconocido
77	cognitivo	303	1878.84	7578	17.84	109.69	2234.07	32			desconocido
78	denotación	5	31.00	130	0.31	105.34	36.47	5			desconocido
79	cognition	13	80.61	341	0.80	104.38	94.60	7			desconocido
80	predicado	45	279.04	1193	2.81	103.23	326.49	8			desconocido
81	noam	37	229.43	993	2.34	101.93	267.53	19			desconocido
82	acentuación	27	167.42	726	1.71	101.73	195.12	8			desconocido
83	formalista	13	80.61	350	0.82	101.59	93.92	8			desconocido
84	cognitiva	68	421.65	1831	4.31	101.58	491.23	24			desconocido
85	sorda	11	68.21	312	0.73	96.24	78.31	6			desconocido
86	subdisciplina	11	68.21	315	0.74	95.29	78.10	10			desconocido
87	conductista	11	68.21	319	0.75	94.06	77.82	6			desconocido
88	anáfora	5	31.00	145	0.34	94.06	35.37	5			desconocido
89	labial	12	74.41	359	0.84	91.07	84.14	5			desconocido
90	funcionalista	17	105.41	520	1.22	89.01	118.44	8			desconocido
91	sílaba	190	1178.15	5821	13.70	88.86	1323.17	26			desconocido
92	conductismo	12	74.41	374	0.88	87.30	83.16	7			desconocido
93	sincrónico	20	124.02	628	1.48	86.63	138.29	15			desconocido
94	semiótico	13	80.61	414	0.97	85.38	89.52	10			desconocido
95	acusativo	10	62.01	319	0.75	85.23	68.83	5			desconocido
96	nominativo	11	68.21	357	0.84	83.73	75.33	5			desconocido
97	fonémico	10	62.01	329	0.77	82.56	68.21	6			desconocido
98	consonant	115	713.09	3810	8.97	81.96	782.80	22			desconocido
99	léxico	62	384.45	2091	4.92	80.47	419.82	33			desconocido
100	sílabas	15	93.01	514	1.21	79.17	101.09	6			desconocido
101	afijo	15	93.01	521	1.23	78.07	100.68	7			desconocido
102	language	5	31.00	177	0.42	76.56	33.37	5			desconocido
103	verbum	20	124.02	717	1.69	75.57	132.98	6			desconocido
104	discursivo	21	130.22	759	1.79	74.94	139.28	12			desconocido
105	diptongo	32	198.43	1159	2.73	74.78	212.11	9			desconocido
106	pragmático	60	372.05	2184	5.14	74.39	397.11	24	Q181839	1	muy_generico
107	tipológico	13	80.61	480	1.13	73.31	85.67	6			desconocido
108	grammar	50	310.04	1850	4.35	73.15	329.29	24			desconocido
109	lingüístico	10	62.01	373	0.88	72.55	65.70	5	Q8162	0	raiz_de_dominio
110	prescriptivo	6	37.20	224	0.53	72.48	39.41	6			desconocido
111	constructivista	16	99.21	637	1.50	67.85	103.03	5			desconocido
112	hermenéutico	11	68.21	440	1.04	67.53	70.73	6			desconocido
113	neurobiología	6	37.20	240	0.56	67.53	38.58	5			desconocido
114	onomástico	8	49.61	322	0.76	67.10	51.34	5	Q175156	1	muy_generico
115	dativo	6	37.20	242	0.57	66.96	38.48	5			desconocido
116	fonético	92	570.47	3774	8.88	65.80	586.93	38	Q35395	1	muy_generico
117	comunicativo	43	266.63	1784	4.20	65.05	273.36	22			desconocido
118	alarcos	15	93.01	626	1.47	64.65	95.18	5			desconocido
119	boas	14	86.81	592	1.39	63.79	88.47	5			desconocido
120	enunciación	8	49.61	340	0.80	63.46	50.47	6			desconocido
121	vocálico	33	204.63	1411	3.32	63.07	207.81	9			desconocido
122	silábico	21	130.22	915	2.15	61.86	131.45	11			desconocido
123	consonántico	30	186.02	1309	3.08	61.77	187.70	12			desconocido
124	sintaxis	7	43.41	315	0.74	59.85	43.37	7	Q37437	2	generico
125	conductual	38	235.63	1714	4.03	59.71	235.25	6			desconocido
126	grafema	10	62.01	455	1.07	59.18	61.73	5			desconocido
127	alveolar	10	62.01	461	1.09	58.39	61.47	5			desconocido
128	descriptiva	8	49.61	369	0.87	58.36	49.17	5			desconocido
129	quintiliano	7	43.41	334	0.79	56.38	42.55	5			desconocido
130	oclusivo	18	111.61	865	2.04	55.97	109.17	8			desconocido
131	terapeuta	46	285.24	2214	5.21	55.88	278.84	7			desconocido
132	proverbio	24	148.82	1155	2.72	55.88	145.49	10			desconocido
133	neurociencia	32	198.43	1546	3.64	55.66	193.74	10			desconocido
134	desinencia	7	43.41	348	0.82	54.06	41.98	5			desconocido
135	adverbio	21	130.22	1058	2.49	53.33	125.40	8			desconocido
136	constructo	14	86.81	714	1.68	52.67	83.26	7			desconocido
137	lexicográfico	7	43.41	360	0.85	52.22	41.51	5			desconocido
138	ortográfica	11	68.21	583	1.37	50.65	64.58	9			desconocido
139	modismo	13	80.61	693	1.63	50.35	76.17	8			desconocido
140	paleografía	6	37.20	325	0.76	49.53	34.97	6			desconocido
141	extracción	9	55.81	488	1.15	49.48	52.43	5			desconocido
142	coda	21	130.22	1182	2.78	47.64	120.79	5			desconocido
143	aserción	6	37.20	344	0.81	46.75	34.29	5			desconocido
144	fricativo	18	111.61	1051	2.47	45.89	102.23	6			desconocido
145	computacional	97	601.48	5748	13.53	45.21	548.09	35			desconocido
146	filología	86	533.27	5099	12.00	45.18	485.84	30	Q40634	1	muy_generico
147	bloomfield	16	99.21	950	2.24	45.11	90.34	11			desconocido
148	aspirado	11	68.21	658	1.55	44.77	61.95	5			desconocido
149	genitivo	7	43.41	421	0.99	44.53	39.35	5			desconocido
150	jeroglífico	13	80.61	785	1.85	44.35	72.97	7			desconocido
151	applied	27	167.42	1714	4.03	42.15	148.90	5			desconocido
152	mouton	11	68.21	721	1.70	40.80	59.97	8			desconocido
153	pronombr	36	223.23	2379	5.60	40.46	195.69	15			desconocido
154	retórica	9	55.81	599	1.41	40.17	48.80	8			desconocido
155	perceptivo	9	55.81	603	1.42	39.90	48.68	6			desconocido
156	tónico	10	62.01	673	1.58	39.72	54.00	8			desconocido
157	computational	6	37.20	408	0.96	39.31	32.28	5			desconocido
158	sincronía	9	55.81	617	1.45	38.98	48.27	5			desconocido
