selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	multiómica	6	27.59	9	0.02	3905.72	79.48	6	Q25110691	4	muy_especifico_hoja
2	transcriptómica	15	68.98	32	0.08	1723.11	183.11	6			desconocido
3	holomorfas	29	133.36	147	0.35	479.94	293.62	5			desconocido
4	microarray	26	119.56	136	0.32	461.59	261.43	8			desconocido
5	euclidiana	19	87.37	102	0.24	447.04	189.95	6			desconocido
6	riemannián	32	147.16	177	0.42	430.98	317.82	11			desconocido
7	bioinformática	9	41.39	55	0.13	382.08	87.42	6			desconocido
8	geoestadística	6	27.59	40	0.09	344.62	57.15	5	Q1440020	2	generico
9	euclídea	11	50.59	77	0.18	325.48	103.62	7			desconocido
10	fraccional	76	349.50	538	1.27	321.25	714.06	6			desconocido
11	lobachevsky	10	45.99	72	0.17	314.98	93.59	6			desconocido
12	diferenciabilidad	9	41.39	69	0.16	292.93	83.02	5			desconocido
13	factbook	63	289.72	509	1.20	275.85	574.12	49			desconocido
14	calculus	42	193.14	346	0.81	269.80	381.01	12			desconocido
15	bioinformático	20	91.97	172	0.40	256.96	179.61	9	Q128570	4	muy_especifico_hoja
16	trigonometría	48	220.74	413	0.97	256.81	431.01	10			desconocido
17	euclidián	95	436.87	863	2.03	241.56	842.15	17			desconocido
18	dimensionalidad	22	101.17	212	0.50	226.12	192.29	8			desconocido
19	bolyai	11	50.59	111	0.26	214.81	95.08	7			desconocido
20	lobachevski	9	41.39	92	0.22	211.76	77.55	8			desconocido
21	computational	38	174.75	408	0.96	200.56	323.53	16			desconocido
22	diofántico	17	78.18	188	0.44	194.14	143.69	5			desconocido
23	demografía	129	593.23	1448	3.41	190.99	1086.33	109			desconocido
24	habitant	12	55.18	138	0.32	185.99	100.45	12			desconocido
25	genómica	43	197.74	533	1.25	171.37	353.25	17			desconocido
26	trigonométrica	49	225.33	612	1.44	169.96	401.77	13			desconocido
27	euclides	117	538.04	1566	3.69	157.68	942.58	16			desconocido
28	diferenciabl	39	179.35	525	1.24	156.71	313.73	13			desconocido
29	tangente	34	156.35	458	1.08	156.60	273.46	11			desconocido
30	euclidiano	37	170.15	501	1.18	155.72	297.20	16			desconocido
31	silico	9	41.39	123	0.29	154.17	72.12	7			desconocido
32	adjetivo	5	22.99	69	0.16	152.57	39.97	5			desconocido
33	visualization	8	36.79	111	0.26	151.68	63.86	5			desconocido
34	topológica	18	82.78	251	0.59	150.86	143.49	11			desconocido
35	subsahariano	11	50.59	158	0.37	146.13	87.02	5			desconocido
36	proteómica	11	50.59	160	0.38	144.17	86.73	7			desconocido
37	geodésica	17	78.18	248	0.58	143.72	133.94	5			desconocido
38	variacional	14	64.38	208	0.49	140.93	109.78	6			desconocido
39	proteómico	7	32.19	105	0.25	139.49	54.75	5			desconocido
40	computacional	29	133.36	436	1.03	139.15	226.69	10			desconocido
41	riemann	143	657.61	2174	5.12	137.50	1114.54	32			desconocido
42	difeomorfismo	9	41.39	142	0.33	132.15	69.46	6			desconocido
43	polinómica	13	59.78	206	0.48	131.54	100.22	9			desconocido
44	sequencing	10	45.99	161	0.38	129.33	76.76	5			desconocido
45	axiomatización	7	32.19	114	0.27	127.76	53.57	7			desconocido
46	uzbeco	6	27.59	100	0.24	124.65	45.63	5			desconocido
47	infinitesimal	8	36.79	136	0.32	122.05	60.52	5			desconocido
48	geometría	145	666.80	2497	5.88	120.39	1093.12	40	Q8087	1	muy_generico
49	combinatorio	57	262.12	985	2.32	119.95	429.30	21			desconocido
50	genomics	14	64.38	243	0.57	119.39	105.32	5			desconocido
51	algorithms	22	101.17	383	0.90	119.01	165.36	8			desconocido
52	nonlinear	11	50.59	193	0.45	118.03	82.51	5			desconocido
53	etario	16	73.58	293	0.69	112.80	118.61	13			desconocido
54	estocástica	7	32.19	132	0.31	109.36	51.48	7			desconocido
55	fertility	7	32.19	133	0.31	108.49	51.37	5			desconocido
56	mathematical	10	45.99	197	0.46	104.43	72.65	7			desconocido
57	geometry	45	206.94	888	2.09	104.25	326.76	16			desconocido
58	hiperbólico	84	386.29	1659	3.90	104.15	609.80	15			desconocido
59	fecundidad	117	538.04	2411	5.67	99.60	839.27	56			desconocido
60	axiomático	27	124.16	563	1.33	98.37	193.03	12			desconocido
61	grothendieck	11	50.59	237	0.56	95.05	77.91	5			desconocido
62	euclídeo	59	271.32	1283	3.02	94.13	416.79	21			desconocido
63	parametrización	12	55.18	261	0.61	94.11	84.77	6			desconocido
64	isometría	26	119.56	572	1.35	92.99	183.06	10			desconocido
65	operators	10	45.99	220	0.52	92.99	70.41	6			desconocido
66	diferenciable	48	220.74	1057	2.49	92.90	337.86	17			desconocido
67	expectativa	9	41.39	199	0.47	92.50	63.27	9			desconocido
68	codificant	16	73.58	373	0.88	87.52	110.78	7			desconocido
69	genómico	61	280.52	1427	3.36	87.21	421.91	19	Q222046	4	muy_especifico_hoja
70	gaussián	15	68.98	352	0.83	86.92	103.65	5			desconocido
71	fourier	94	432.27	2260	5.32	84.75	644.96	13			desconocido
72	liouville	11	50.59	267	0.63	83.91	75.26	7			desconocido
73	functional	36	165.55	875	2.06	83.79	246.21	6			desconocido
74	simplicial	7	32.19	176	0.41	80.89	47.40	6			desconocido
75	tayikos	12	55.18	302	0.71	80.81	81.23	5			desconocido
76	weierstrass	11	50.59	278	0.65	80.45	74.37	10			desconocido
77	conjetura	8	36.79	205	0.48	79.30	53.86	5			desconocido
78	tensor	140	643.81	3606	8.49	78.88	941.13	11			desconocido
79	cuadrática	12	55.18	316	0.74	77.09	80.13	5			desconocido
80	curvatura	161	740.38	4281	10.08	76.31	1071.99	14			desconocido
81	algebraica	38	174.75	1015	2.39	75.96	252.67	20			desconocido
82	axioma	105	482.86	2871	6.76	74.13	693.23	28			desconocido
83	muertes	12	55.18	329	0.77	73.93	79.16	12			desconocido
84	banach	37	170.15	1019	2.40	73.58	243.75	9			desconocido
85	eurostat	8	36.79	221	0.52	73.35	52.65	6			desconocido
86	bacterial	6	27.59	167	0.39	72.78	39.40	6			desconocido
87	estocástico	45	206.94	1266	2.98	71.97	294.52	17			desconocido
88	convexos	7	32.19	201	0.47	70.46	45.53	5			desconocido
89	multiplicativo	19	87.37	547	1.29	70.27	123.48	6			desconocido
90	homología	34	156.35	991	2.33	69.38	220.11	10			desconocido
91	serre	13	59.78	379	0.89	69.36	84.16	5			desconocido
92	prospects	9	41.39	266	0.63	68.39	58.01	9			desconocido
93	topología	24	110.37	713	1.68	68.02	154.46	14	Q42989	1	muy_generico
94	inmigratorio	10	45.99	299	0.70	67.57	64.23	9			desconocido
95	topológico	109	501.25	3268	7.69	67.38	699.49	28			desconocido
96	kolmogórov	6	27.59	182	0.43	66.57	38.36	5			desconocido
97	cartan	12	55.18	368	0.87	65.83	76.47	5			desconocido
98	möbius	24	110.37	739	1.74	65.55	152.74	7			desconocido
99	algebraico	128	588.63	3949	9.29	65.42	814.09	39			desconocido
100	population	47	216.14	1454	3.42	65.23	298.67	30			desconocido
101	hilbert	74	340.30	2308	5.43	64.69	469.03	22			desconocido
102	reproducibilidad	6	27.59	191	0.45	63.34	37.78	5			desconocido
103	convexidad	9	41.39	287	0.68	63.22	56.65	6			desconocido
104	functions	23	105.77	741	1.74	62.56	144.29	7			desconocido
105	teorema	82	377.09	2674	6.29	61.78	512.44	32			desconocido
106	minkowski	30	137.96	985	2.32	61.35	187.07	11			desconocido
107	conexo	14	64.38	460	1.08	61.30	87.28	8			desconocido
108	ortodoxos	6	27.59	200	0.47	60.40	37.23	6			desconocido
109	tangencia	6	27.59	205	0.48	58.88	36.94	5			desconocido
110	gauss	48	220.74	1651	3.89	58.48	294.85	20			desconocido
111	secuenciar	18	82.78	648	1.53	55.80	108.94	6			desconocido
112	homeomorfismo	6	27.59	216	0.51	55.80	36.31	5			desconocido
113	metabolito	56	257.52	2031	4.78	55.37	338.08	8			desconocido
114	babilonio	26	119.56	943	2.22	55.37	156.97	7			desconocido
115	denotado	26	119.56	945	2.22	55.25	156.86	18			desconocido
116	finita	20	91.97	727	1.71	55.24	120.65	16			desconocido
117	acotado	64	294.31	2331	5.49	55.13	385.84	13			desconocido
118	proporción	9	41.39	329	0.77	54.92	54.19	9			desconocido
119	cayley	10	45.99	368	0.87	54.55	60.08	6			desconocido
120	equations	12	55.18	445	1.05	54.12	71.92	5			desconocido
121	modelado	16	73.58	594	1.40	54.06	95.85	7			desconocido
122	modelizar	7	32.19	261	0.61	53.82	41.87	7			desconocido
123	espectrometría	16	73.58	604	1.42	53.14	95.32	5			desconocido
124	geómetra	11	50.59	416	0.98	53.04	65.49	5			desconocido
125	heurística	11	50.59	417	0.98	52.91	65.44	8			desconocido
126	applications	40	183.95	1549	3.65	51.77	236.27	15			desconocido
127	optimización	91	418.48	3526	8.30	51.74	537.42	31			desconocido
128	modelización	14	64.38	561	1.32	49.98	81.75	11			desconocido
129	génico	52	239.13	2084	4.90	49.97	303.61	16			desconocido
130	decisions	7	32.19	282	0.66	49.71	40.80	5			desconocido
131	markov	18	82.78	730	1.72	49.37	104.67	12			desconocido
132	tangent	24	110.37	980	2.31	49.03	139.24	12			desconocido
133	procesamiento	30	137.96	1236	2.91	48.58	173.52	20			desconocido
134	matlab	9	41.39	371	0.87	48.55	52.05	8			desconocido
135	deductivo	15	68.98	623	1.47	48.18	86.52	7			desconocido
136	lingüística	21	96.57	873	2.05	48.13	121.09	8			desconocido
137	convergence	7	32.19	293	0.69	47.80	40.27	6			desconocido
138	tensorial	30	137.96	1256	2.96	47.79	172.56	7			desconocido
139	algorítmico	16	73.58	679	1.60	47.13	91.60	6			desconocido
140	circunferencia	124	570.23	5382	12.67	46.05	704.41	18			desconocido
141	decision	18	82.78	783	1.84	45.95	102.17	5			desconocido
142	turcomano	17	78.18	740	1.74	45.92	96.47	8			desconocido
143	cálculo	465	2138.37	20446	48.12	45.45	2629.59	96	Q48782649	1	muy_generico
144	cardinalidad	9	41.39	397	0.93	45.30	50.84	6			desconocido
145	márkov	8	36.79	353	0.83	45.28	45.18	5			desconocido
146	alineamiento	40	183.95	1780	4.19	44.89	225.25	8			desconocido
147	subconjunto	132	607.02	5900	13.89	44.69	742.18	26			desconocido
148	proyectivo	47	216.14	2104	4.95	44.62	264.12	16			desconocido
149	subdisciplina	7	32.19	315	0.74	44.38	39.26	5			desconocido
150	lebesgue	11	50.59	499	1.17	44.02	61.53	6			desconocido
151	varianza	33	151.76	1504	3.54	43.81	184.28	14			desconocido
152	religiones	18	82.78	822	1.93	43.72	100.44	17			desconocido
153	conforme	52	239.13	2408	5.67	43.10	288.74	5			desconocido
154	analítico	129	593.23	6024	14.18	42.73	714.16	37			desconocido
155	asintótico	15	68.98	703	1.65	42.58	82.93	7			desconocido
156	haitiano	16	73.58	754	1.77	42.34	88.29	6			desconocido
157	ecuaciones	14	64.38	661	1.56	42.26	77.20	10			desconocido
158	morfismo	16	73.58	756	1.78	42.22	88.21	7			desconocido
159	censos	21	96.57	1004	2.36	41.72	115.28	13			desconocido
160	cauchy	23	105.77	1104	2.60	41.55	126.08	13			desconocido
161	extracción	10	45.99	488	1.15	40.85	54.49	6			desconocido
162	probabilístico	16	73.58	784	1.85	40.68	87.06	11			desconocido
163	weyl	10	45.99	490	1.15	40.68	54.41	5			desconocido
164	congruencia	14	64.38	688	1.62	40.56	76.10	5			desconocido
165	epidemiología	16	73.58	788	1.85	40.47	86.90	9			desconocido
166	recta	156	717.39	7703	18.13	40.37	846.46	23			desconocido
167	abeliano	14	64.38	696	1.64	40.09	75.78	7			desconocido
168	mathematics	49	225.33	2440	5.74	40.02	265.06	27			desconocido
169	sets	10	45.99	508	1.20	39.21	53.70	5			desconocido
170	relatividad	80	367.89	4068	9.57	39.17	429.46	10			desconocido
171	algoritmos	15	68.98	768	1.81	38.90	80.32	7			desconocido
172	generalización	61	280.52	3129	7.36	38.83	326.41	38			desconocido
173	evolutiva	7	32.19	365	0.86	38.18	37.23	5			desconocido
174	cuadratura	10	45.99	532	1.25	37.41	52.79	5			desconocido
175	medibl	10	45.99	535	1.26	37.20	52.68	7			desconocido
176	biomolécula	7	32.19	376	0.88	37.05	36.82	5			desconocido
177	subcampo	11	50.59	593	1.40	36.91	57.79	10			desconocido
178	estadístico	218	1002.51	11795	27.76	36.77	1143.68	80	Q12483	1	muy_generico
179	leibniz	44	202.34	2385	5.61	36.70	230.68	14			desconocido
180	sintáctica	9	41.39	489	1.15	36.62	47.14	7			desconocido
181	aritmético	36	165.55	1960	4.61	36.54	188.42	18			desconocido
182	aritmética	12	55.18	660	1.55	36.16	62.57	8			desconocido
183	subespacio	25	114.97	1381	3.25	36.00	130.14	10			desconocido
184	numerical	6	27.59	333	0.78	35.83	31.18	6			desconocido
185	definición	28	128.76	1556	3.66	35.79	145.43	25			desconocido
186	bernoulli	20	91.97	1113	2.62	35.73	103.82	9			desconocido
187	bayesián	7	32.19	393	0.92	35.41	36.22	6			desconocido
188	malario	6	27.59	339	0.80	35.19	30.97	6			desconocido
189	fermat	20	91.97	1137	2.68	34.97	102.98	8			desconocido
190	statistics	33	151.76	1877	4.42	34.95	169.89	19			desconocido
191	genoma	12	55.18	683	1.61	34.92	61.76	6			desconocido
192	arquímedes	29	133.36	1652	3.89	34.89	149.21	10			desconocido
193	politopo	15	68.98	860	2.02	34.67	76.99	6			desconocido
194	etnicidad	9	41.39	520	1.22	34.39	46.06	8			desconocido
195	arnm	20	91.97	1162	2.73	34.20	102.13	8			desconocido
196	invariante	19	87.37	1112	2.62	33.95	96.75	12			desconocido
197	processing	13	59.78	763	1.80	33.85	66.13	5			desconocido
198	fertilidad	99	455.27	5878	13.83	33.45	501.35	68			desconocido
199	unicidad	11	50.59	655	1.54	33.36	55.64	7			desconocido
200	ortonormal	7	32.19	419	0.99	33.18	35.34	5			desconocido
201	converger	10	45.99	600	1.41	33.10	50.44	6			desconocido
202	iterativo	11	50.59	664	1.56	32.90	55.35	10			desconocido
203	intersecar	14	64.38	852	2.01	32.63	70.22	5			desconocido
204	aditivo	16	73.58	976	2.30	32.55	80.18	10			desconocido
205	erlangen	14	64.38	854	2.01	32.55	70.16	10			desconocido
206	generalidad	14	64.38	855	2.01	32.51	70.13	6			desconocido
207	dedekind	6	27.59	368	0.87	32.37	30.00	5			desconocido
208	bantú	9	41.39	553	1.30	32.31	44.97	7			desconocido
209	aids	13	59.78	799	1.88	32.30	64.96	6			desconocido
210	cuantificar	33	151.76	2032	4.78	32.24	164.77	18			desconocido
211	calcular él	16	73.58	994	2.34	31.95	79.61	9			desconocido
212	anticonceptivo	17	78.18	1066	2.51	31.65	84.28	16			desconocido
213	isomorfismo	17	78.18	1070	2.52	31.53	84.15	8			desconocido
214	sanger	14	64.38	881	2.07	31.53	69.31	6			desconocido
215	predicción	103	473.66	6486	15.27	31.51	509.77	35			desconocido
216	geométrico	205	942.72	12952	30.48	31.41	1013.26	57			desconocido
217	genome	23	105.77	1463	3.44	31.19	113.38	5			desconocido
218	finito	125	574.83	8004	18.84	30.98	614.57	46			desconocido
219	suní	7	32.19	449	1.06	30.93	34.39	6			desconocido
220	simulation	9	41.39	581	1.37	30.73	44.11	6			desconocido
221	alfabetizado	11	50.59	711	1.67	30.69	53.88	11			desconocido
222	factorización	14	64.38	906	2.13	30.65	68.54	9			desconocido
223	methods	22	101.17	1445	3.40	30.19	107.07	16			desconocido
224	genotipo	16	73.58	1056	2.49	30.04	77.72	6			desconocido
225	generalizar él	7	32.19	467	1.10	29.72	33.86	6			desconocido
226	sintáctico	31	142.56	2102	4.95	29.23	148.96	12			desconocido
227	paramétrico	11	50.59	746	1.76	29.23	52.85	5			desconocido
228	pitágoras	20	91.97	1362	3.21	29.10	95.93	9			desconocido
229	considérese	10	45.99	681	1.60	29.10	47.97	6			desconocido
230	formalismo	17	78.18	1164	2.74	28.94	81.36	11			desconocido
231	animista	8	36.79	552	1.30	28.72	38.17	8			desconocido
232	cualesquiero	10	45.99	692	1.63	28.63	47.65	8			desconocido
233	cuantitativo	53	243.73	3676	8.65	28.57	252.33	27			desconocido
234	polinomio	73	335.70	5121	12.05	28.24	345.94	16			desconocido
235	semántico	62	285.12	4351	10.24	28.23	293.77	17			desconocido
236	anglicano	10	45.99	703	1.65	28.18	47.35	10			desconocido
237	evolutivo	117	538.04	8260	19.44	28.06	553.01	18			desconocido
238	cuantificación	18	82.78	1276	3.00	27.94	84.94	12			desconocido
239	posicional	12	55.18	852	2.01	27.90	56.59	6			desconocido
240	métrico	73	335.70	5206	12.25	27.77	343.61	18			desconocido
241	vectorial	106	487.46	7642	17.99	27.47	496.71	34			desconocido
242	vértiz	84	386.29	6070	14.29	27.40	393.24	13			desconocido
243	inferencia	28	128.76	2040	4.80	27.18	130.63	15			desconocido
244	isomorfo	11	50.59	805	1.89	27.05	51.23	6			desconocido
245	discreto	120	551.84	8786	20.68	27.04	558.71	37			desconocido
246	ecuación	381	1752.09	27911	65.69	27.03	1773.50	67			desconocido
247	étnico	329	1512.96	24161	56.87	26.96	1529.88	144			desconocido
248	arista	96	441.47	7057	16.61	26.93	446.23	6			desconocido
249	tasa	560	2575.25	41375	97.38	26.79	2597.48	141			desconocido
250	applied	23	105.77	1714	4.03	26.56	106.30	12			desconocido
251	euler	36	165.55	2704	6.36	26.35	165.83	22			desconocido
252	población	165	758.78	12431	29.26	26.27	759.09	84			desconocido
253	defunción	31	142.56	2342	5.51	26.20	142.45	18			desconocido
254	analizar él	10	45.99	757	1.78	26.14	45.91	7			desconocido
255	triangulación	10	45.99	766	1.80	25.83	45.68	5			desconocido
256	mestizo	30	137.96	2312	5.44	25.67	136.70	13			desconocido
257	schrödinger	14	64.38	1080	2.54	25.65	63.77	5			desconocido
258	geodésico	20	91.97	1554	3.66	25.46	90.82	8			desconocido
259	lectures	15	68.98	1172	2.76	25.32	67.95	8			desconocido
260	crecimiento	17	78.18	1329	3.13	25.30	76.99	14			desconocido
261	modeling	8	36.79	631	1.49	25.08	36.09	7			desconocido
262	correlación	61	280.52	4849	11.41	24.88	274.31	20			desconocido
263	racionalidad	20	91.97	1595	3.75	24.80	89.81	5			desconocido
264	protestantismo	7	32.19	562	1.32	24.63	31.34	7			desconocido
265	fulani	8	36.79	644	1.52	24.56	35.78	6			desconocido
266	cuadrático	18	82.78	1454	3.42	24.48	80.39	9			desconocido
267	predictivo	13	59.78	1050	2.47	24.48	58.06	6			desconocido
268	poincaré	14	64.38	1134	2.67	24.41	62.45	8			desconocido
269	demográfico	255	1172.66	20679	48.67	24.38	1136.86	109			desconocido
270	conmutativo	17	78.18	1381	3.25	24.34	75.73	10			desconocido
271	análisis	770	3540.96	62651	147.46	24.30	3427.93	141			desconocido
272	algoritmo	11	50.59	898	2.11	24.22	48.90	8			desconocido
273	corpus	25	114.97	2045	4.81	24.17	111.04	8			desconocido
274	decrecimiento	9	41.39	737	1.73	24.14	39.96	6			desconocido
275	exponencial	34	156.35	2787	6.56	24.12	150.88	19			desconocido
276	matemático	8	36.79	657	1.55	24.07	35.47	5			desconocido
277	ortogonal	31	142.56	2556	6.02	23.98	137.21	12			desconocido
278	formalización	13	59.78	1095	2.58	23.46	57.01	9			desconocido
279	aproximación	163	749.58	13764	32.40	23.40	713.99	60			desconocido
280	numérico	109	501.25	9387	22.09	22.94	473.33	44			desconocido
281	tifoidea	8	36.79	689	1.62	22.94	34.74	8			desconocido
282	nacionalidad	10	45.99	862	2.03	22.92	43.41	10			desconocido
283	disjunto	7	32.19	612	1.44	22.60	30.19	6			desconocido
284	theory	102	469.06	8954	21.07	22.50	439.18	31			desconocido
285	racional	103	473.66	9060	21.32	22.46	443.08	24			desconocido
286	asiático	16	73.58	1410	3.32	22.41	68.77	14			desconocido
287	bioquímica	7	32.19	617	1.45	22.41	30.08	5			desconocido
288	africanos	10	45.99	884	2.08	22.34	42.92	10			desconocido
289	envejecido	15	68.98	1329	3.13	22.29	64.32	10			desconocido
290	iteración	24	110.37	2155	5.07	21.99	102.29	9			desconocido
291	álgebra	14	64.38	1259	2.96	21.96	59.63	11			desconocido
292	metabólico	46	211.54	4169	9.81	21.79	195.24	10			desconocido
293	neuronal	51	234.53	4638	10.92	21.71	216.13	22			desconocido
294	physics	29	133.36	2644	6.22	21.66	122.76	12			desconocido
295	óptimo	99	455.27	9046	21.29	21.61	418.64	30			desconocido
296	nucleótido	27	124.16	2468	5.81	21.60	114.16	8			desconocido
297	bautista	9	41.39	826	1.94	21.51	37.98	9			desconocido
298	infinito	17	78.18	1571	3.70	21.36	71.52	9			desconocido
299	inverso	17	78.18	1587	3.74	21.15	71.19	6			desconocido
300	validación	21	96.57	1965	4.62	21.10	87.85	7			desconocido
301	lagrange	15	68.98	1421	3.34	20.83	62.39	8			desconocido
302	protestantes	12	55.18	1137	2.68	20.83	49.91	12			desconocido
303	criptografía	10	45.99	959	2.26	20.58	41.36	7			desconocido
304	neurociencia	16	73.58	1546	3.64	20.42	65.95	6			desconocido
305	neto	63	289.72	6090	14.33	20.41	259.62	45			desconocido
306	correlacionado	8	36.79	777	1.83	20.32	32.90	7			desconocido
307	statistical	10	45.99	974	2.29	20.26	41.06	9			desconocido
308	loci	8	36.79	781	1.84	20.21	32.82	5			desconocido
309	poisson	12	55.18	1175	2.77	20.15	49.16	6			desconocido
310	entero	33	151.76	3293	7.75	19.77	133.99	16			desconocido
311	computación	82	377.09	8200	19.30	19.73	332.61	35			desconocido
312	homólogo	15	68.98	1522	3.58	19.44	60.43	9			desconocido
313	triángulo	131	602.42	13323	31.36	19.39	527.14	25			desconocido
314	léxico	20	91.97	2034	4.79	19.39	80.48	7			desconocido
315	fenotipo	19	87.37	1944	4.58	19.27	76.24	11			desconocido
316	rectángulo	33	151.76	3417	8.04	19.04	131.66	10			desconocido
317	aleatorio	92	423.08	9597	22.59	18.90	365.76	31			desconocido
318	complejo	408	1876.25	42620	100.31	18.88	1621.00	94			desconocido
319	descartes	26	119.56	2743	6.46	18.69	102.81	8			desconocido
320	elíptico	43	197.74	4538	10.68	18.68	170.00	12			desconocido
321	groups	10	45.99	1059	2.49	18.62	39.47	6			desconocido
322	math	14	64.38	1491	3.51	18.51	55.11	11			desconocido
323	transformado	56	257.52	5973	14.06	18.48	220.27	5			desconocido
324	principles	12	55.18	1280	3.01	18.48	47.20	10			desconocido
325	matemática	36	165.55	3847	9.05	18.45	141.47	22	Q395	0	raiz_de_dominio
326	noción	103	473.66	11053	26.01	18.37	403.95	44			desconocido
327	bosnio	9	41.39	968	2.28	18.33	35.26	5			desconocido
328	estructura	21	96.57	2263	5.33	18.29	82.19	18			desconocido
329	gráfica	11	50.59	1188	2.80	18.25	43.01	7			desconocido
330	notación	62	285.12	6704	15.78	18.23	242.26	23			desconocido
331	polimorfismo	10	45.99	1081	2.54	18.23	39.08	8			desconocido
332	springer	34	156.35	3684	8.67	18.19	132.72	19			desconocido
333	genético	226	1039.30	24517	57.70	18.17	881.68	37			desconocido
334	maximizar	30	137.96	3290	7.74	17.97	116.42	16			desconocido
335	cualificado	23	105.77	2524	5.94	17.96	89.23	17			desconocido
336	apolonio	12	55.18	1318	3.10	17.94	46.53	6			desconocido
337	fractal	8	36.79	881	2.07	17.90	30.98	5			desconocido
338	escolarización	10	45.99	1103	2.60	17.87	38.70	7			desconocido
339	bidimensional	20	91.97	2225	5.24	17.71	77.07	11			desconocido
340	cociente	22	101.17	2453	5.77	17.67	84.68	12			desconocido
341	leonhard	9	41.39	1008	2.37	17.59	34.57	7			desconocido
342	ratio	17	78.18	1905	4.48	17.58	65.28	13			desconocido
343	operador	181	832.36	20547	48.36	17.36	690.55	26			desconocido
344	mapeo	14	64.38	1591	3.74	17.34	53.38	10			desconocido
345	modelar	49	225.33	5605	13.19	17.22	186.24	27			desconocido
346	secuencia	304	1397.99	34837	81.99	17.19	1154.40	36			desconocido
347	problema	9	41.39	1039	2.45	17.06	34.05	6			desconocido
348	túrquico	10	45.99	1156	2.72	17.04	37.81	5			desconocido
349	inmigrante	22	101.17	2557	6.02	16.95	82.95	17			desconocido
350	cónica	8	36.79	932	2.19	16.91	30.13	6			desconocido
351	formulación	52	239.13	6086	14.32	16.83	195.39	25			desconocido
352	mestizaje	19	87.37	2238	5.27	16.72	71.16	10			desconocido
353	traslación	17	78.18	2011	4.73	16.65	63.53	6			desconocido
354	vértice	38	174.75	4501	10.59	16.63	141.93	14			desconocido
355	entropía	22	101.17	2606	6.13	16.63	82.17	9			desconocido
356	convergencia	34	156.35	4035	9.50	16.60	126.86	12			desconocido
357	ángulo	221	1016.30	26248	61.78	16.58	824.28	28			desconocido
358	lecture	10	45.99	1198	2.82	16.44	37.13	7			desconocido
359	masculinidad	15	68.98	1818	4.28	16.25	55.37	12			desconocido
360	distribución	29	133.36	3520	8.28	16.22	106.98	23			desconocido
361	computing	15	68.98	1829	4.30	16.15	55.20	10			desconocido
362	analfabetismo	11	50.59	1341	3.16	16.15	40.49	9			desconocido
363	elementos	29	133.36	3548	8.35	16.09	106.54	10			desconocido
364	biology	32	147.16	3984	9.38	15.81	116.51	8			desconocido
365	ricci	21	96.57	2619	6.16	15.79	76.39	6			desconocido
