selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	contrapulsación	39	64.70	47	0.11	3431.22	468.66	5			desconocido
2	multiómica	7	11.61	9	0.02	2463.44	82.28	7	Q25110691	2	muy_generico
3	trincadeira	10	16.59	13	0.03	2346.13	117.12	10			desconocido
4	pedernã	14	23.22	20	0.05	1642.29	159.21	13			desconocido
5	lipoideo	7	11.61	10	0.02	1642.29	79.60	5			desconocido
6	arreflexia	13	21.57	19	0.04	1524.99	146.83	7			desconocido
7	neurinoma	15	24.88	23	0.05	1319.70	167.04	5			desconocido
8	lasik	66	109.49	105	0.25	1191.11	727.22	6	Q278846		desconocido
9	bronquiolitis	30	49.77	50	0.12	1055.76	326.23	9	Q424227		desconocido
10	poliangeíti	6	9.95	11	0.03	844.61	63.55	5			desconocido
11	rinosinusitis	16	26.54	30	0.07	804.39	168.44	9			desconocido
12	bronquiectasia	25	41.47	50	0.12	703.84	258.65	13	Q32778		desconocido
13	toracocentesis	11	18.25	22	0.05	703.84	113.81	7			desconocido
14	miúda	5	8.29	10	0.02	703.84	51.73	5			desconocido
15	alveolitis	13	21.57	27	0.06	653.57	133.15	6	Q448747		desconocido
16	aspirativo	8	13.27	17	0.04	625.64	81.44	6			desconocido
17	rinitis	15	24.88	32	0.08	621.04	152.55	7	Q114085		desconocido
18	transcriptómica	15	24.88	32	0.08	621.04	152.55	6			desconocido
19	roupeiro	5	8.29	11	0.03	586.53	50.44	5			desconocido
20	ivig	14	23.22	31	0.07	579.63	140.99	5			desconocido
21	crepitant	9	14.93	20	0.05	575.87	90.55	9			desconocido
22	metabolómico	25	41.47	56	0.13	567.61	251.00	7	Q12149006	2	muy_generico
23	estridor	16	26.54	37	0.09	536.26	159.30	9			desconocido
24	neumonía	62	102.85	144	0.34	532.17	616.58	25	Q12192		desconocido
25	dermatomiositis	28	46.45	66	0.16	518.62	277.38	6	Q681160		desconocido
26	sdra	16	26.54	38	0.09	511.88	158.19	6			desconocido
27	toracoscopia	5	8.29	12	0.03	502.74	49.30	5			desconocido
28	toracotomía	6	9.95	15	0.04	469.23	58.53	5			desconocido
29	arinto	14	23.22	36	0.08	447.90	135.57	13			desconocido
30	síria	5	8.29	13	0.03	439.90	48.28	5			desconocido
31	histerectomía	99	164.23	262	0.62	427.49	951.52	5	Q550675		desconocido
32	pleural	185	306.90	495	1.17	420.03	1773.02	41			desconocido
33	polineuropatía	35	58.06	94	0.22	417.53	335.11	10	Q1502312		desconocido
34	rinorrea	23	38.16	62	0.15	415.09	220.00	16	Q1115038		desconocido
35	osteotomía	33	54.74	89	0.21	414.76	315.62	5			desconocido
36	touriga	15	24.88	41	0.10	406.06	142.96	10			desconocido
37	biosemiótica	6	9.95	17	0.04	383.91	56.65	5			desconocido
38	nutrigenómica	6	9.95	17	0.04	383.91	56.65	5			desconocido
39	cornet	37	61.38	105	0.25	382.97	349.21	5			desconocido
40	neumopatía	7	11.61	20	0.05	378.99	65.95	5			desconocido
41	mycoplasma	8	13.27	23	0.05	375.38	75.25	6			desconocido
42	granulomatosis	20	33.18	58	0.14	370.44	187.70	7			desconocido
43	enfisema	15	24.88	46	0.11	340.57	138.74	10			desconocido
44	desmielinizante	14	23.22	43	0.10	339.78	129.44	8			desconocido
45	electromiografía	7	11.61	22	0.05	328.46	64.33	7			desconocido
46	opacificación	7	11.61	22	0.05	328.46	64.33	5			desconocido
47	silicosis	39	64.70	124	0.29	322.94	357.34	7	Q653318		desconocido
48	neuroma	10	16.59	32	0.08	319.93	91.47	5			desconocido
49	barotrauma	10	16.59	33	0.08	306.02	90.74	7			desconocido
50	perioperatorio	10	16.59	33	0.08	306.02	90.74	6			desconocido
51	escleral	13	21.57	43	0.10	305.00	117.89	5			desconocido
52	periquita	8	13.27	27	0.06	296.35	72.17	8			desconocido
53	pulmonale	10	16.59	34	0.08	293.27	90.03	7			desconocido
54	neumonitis	5	8.29	17	0.04	293.27	45.02	5			desconocido
55	diplopía	21	34.84	72	0.17	289.82	188.66	11	Q775940		desconocido
56	sibilancia	25	41.47	87	0.20	283.81	223.72	19			desconocido
57	lobar	18	29.86	63	0.15	281.54	160.83	6			desconocido
58	adenoid	13	21.57	46	0.11	277.27	115.82	7			desconocido
59	distrofia	137	227.27	487	1.15	275.50	1219.14	25			desconocido
60	pleura	73	121.10	260	0.61	274.76	649.28	34			desconocido
61	granulomatosa	7	11.61	25	0.06	273.72	62.22	6			desconocido
62	hipoxemia	26	43.13	93	0.22	273.13	230.99	14			desconocido
63	granulomatós	33	54.74	120	0.28	266.97	291.91	12			desconocido
64	agroforestería	11	18.25	40	0.09	266.97	97.30	8	Q397350		desconocido
65	epoc	95	157.60	347	0.82	265.34	839.37	17			desconocido
66	hipermetropía	24	39.81	88	0.21	263.94	211.84	10			desconocido
67	refractivo	73	121.10	268	0.63	263.49	644.13	11			desconocido
