selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	nimbosilva	5	94.66	20	0.05	2680.95	67.44	5			desconocido
2	pluvisilva	8	151.46	46	0.11	1693.23	101.38	5			desconocido
3	lótico	9	170.39	52	0.12	1683.39	113.96	5			desconocido
4	laurisilva	63	1192.73	379	0.89	1603.48	792.17	9	Q788099	2	generico
5	laurifolio	9	170.39	60	0.14	1419.33	111.16	9			desconocido
6	biomas	12	227.19	95	0.22	1162.82	143.77	10			desconocido
7	turbera	152	2877.70	1370	3.22	1003.71	1779.20	8			desconocido
8	léntico	10	189.32	109	0.26	812.41	113.05	5	Q3229532	1	muy_generico
9	frondosa	32	605.83	416	0.98	670.24	350.00	14			desconocido
10	valdiviano	15	283.98	199	0.47	655.67	163.43	6			desconocido
11	várzea	7	132.53	102	0.24	592.63	74.91	5			desconocido
12	biótica	7	132.53	111	0.26	541.35	73.68	5			desconocido
13	nuboso	43	814.09	728	1.71	504.88	446.83	5			desconocido
14	marisma	6	113.59	127	0.30	398.82	59.60	5	Q55706997	2	generico
15	ecosistema	12	227.19	261	0.61	387.61	118.54	8	Q37813	0	raiz_de_dominio
16	dosel	80	1514.58	2025	4.77	330.81	765.51	23			desconocido
17	evapotranspiración	12	227.19	333	0.78	300.67	112.58	8			desconocido
18	conífera	116	2196.14	3613	8.50	266.79	1061.15	24			desconocido
19	caducifolio	10	189.32	328	0.77	252.92	90.43	10			desconocido
20	intermareal	18	340.78	604	1.42	247.05	161.95	8			desconocido
21	intertropical	21	397.58	728	1.71	238.90	187.56	6			desconocido
22	acicular	9	170.39	312	0.73	238.90	80.38	7			desconocido
23	estacionalidad	11	208.25	382	0.90	238.47	98.21	7			desconocido
24	ecosistémico	10	189.32	368	0.87	224.66	88.11	5			desconocido
25	alcornoqu	12	227.19	442	1.04	224.45	105.71	5			desconocido
26	claro	8	151.46	301	0.71	219.60	70.13	5			desconocido
27	ecotono	5	94.66	191	0.45	216.21	43.68	5			desconocido
28	turba	69	1306.32	2732	6.43	208.40	597.75	12			desconocido
29	forests	18	340.78	733	1.73	202.48	154.92	10			desconocido
30	inundable	11	208.25	538	1.27	167.88	90.62	7			desconocido
31	pantanoso	28	530.10	1382	3.25	166.32	230.15	9			desconocido
32	pluviosidad	13	246.12	651	1.53	163.88	106.48	10			desconocido
33	xerófilo	6	113.59	345	0.81	142.35	47.48	6			desconocido
34	salobre	12	227.19	700	1.65	140.28	94.61	8			desconocido
35	arbórea	19	359.71	1116	2.63	139.30	149.54	11			desconocido
36	biótico	8	151.46	477	1.12	137.19	62.72	5			desconocido
37	estuario	84	1590.31	5087	11.97	135.04	656.00	9	Q47053	1	muy_generico
38	bosque	332	6285.50	20531	48.32	132.20	2578.84	50	Q4421	1	muy_generico
