selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	postraumático	7	43.27	24	0.06	1081.00	81.26	5			desconocido
2	anhedonia	20	123.63	71	0.17	1029.52	230.55	6	Q545365	4	especifico
3	perls	24	148.35	153	0.36	488.42	245.08	7			desconocido
4	electroconvulsivo	16	98.90	109	0.26	451.66	161.09	6			desconocido
5	vygotski	19	117.44	134	0.32	433.74	189.88	10			desconocido
6	psicométrica	17	105.08	120	0.28	433.30	169.86	8			desconocido
7	superyó	20	123.63	143	0.34	426.87	199.28	9			desconocido
8	objetal	10	61.81	74	0.17	410.20	98.90	6			desconocido
9	psicomotoro	8	49.45	61	0.14	396.27	78.61	5			desconocido
10	frankl	24	148.35	186	0.44	388.93	234.99	5			desconocido
11	psicodinámico	16	98.90	125	0.29	385.36	156.39	10			desconocido
12	preconsciente	6	37.09	47	0.11	384.19	58.61	5			desconocido
13	piaget	96	593.40	784	1.85	366.32	929.26	16			desconocido
14	desadaptativo	8	49.45	66	0.16	362.11	77.27	6			desconocido
15	somatomorfo	7	43.27	62	0.15	334.13	66.55	5			desconocido
16	eysenck	19	117.44	169	0.40	332.54	180.47	8			desconocido
17	psicoterapéutico	22	135.99	200	0.47	324.47	207.96	16			desconocido
18	tept	42	259.61	393	0.92	314.14	394.45	12			desconocido
19	cognoscitiva	7	43.27	67	0.16	306.28	65.41	6			desconocido
20	bleuler	11	67.99	106	0.25	303.98	102.63	5			desconocido
21	wundt	32	197.80	313	0.74	298.96	297.55	14			desconocido
22	psicometría	15	92.72	155	0.36	281.28	137.75	6	Q506132	1	muy_generico
23	libidinal	10	61.81	104	0.24	279.28	91.70	6			desconocido
24	cognitive	60	370.88	638	1.50	272.52	547.39	13			desconocido
25	biopsicosocial	8	49.45	86	0.20	269.26	72.80	5			desconocido
26	bandura	19	117.44	214	0.50	255.80	171.06	11			desconocido
27	extraversión	10	61.81	113	0.27	254.88	89.96	5			desconocido
28	allport	15	92.72	170	0.40	254.06	134.85	6			desconocido
29	psicosexual	10	61.81	114	0.27	252.43	89.78	7			desconocido
30	cognitiva	21	129.81	242	0.57	249.46	188.06	8			desconocido
31	fechner	20	123.63	232	0.55	247.67	178.83	7			desconocido
32	conductista	27	166.89	319	0.75	242.75	240.39	15			desconocido
33	psicosomático	24	148.35	285	0.67	241.40	213.43	11			desconocido
34	autoinforme	6	37.09	72	0.17	238.66	53.23	5			desconocido
35	depresivo	142	877.74	1725	4.06	235.50	1256.06	21			desconocido
36	neuropsicología	17	105.08	212	0.50	228.87	149.45	8	Q3872	1	muy_generico
37	cognitivo	606	3745.85	7578	17.84	228.19	5323.92	91			desconocido
38	operante	19	117.44	246	0.58	219.74	165.55	12			desconocido
39	psicobiología	7	43.27	92	0.22	216.20	60.78	5	Q846566	1	muy_generico
40	psicopatología	19	117.44	254	0.60	212.26	164.29	13	Q624758	1	muy_generico
41	esquizofrenia	14	86.54	191	0.45	207.65	120.47	9			desconocido
42	neurobiológico	10	61.81	138	0.32	205.10	85.81	7			desconocido
43	etológico	6	37.09	85	0.20	199.39	51.16	5			desconocido
44	antidepresivo	66	407.96	940	2.21	198.25	562.07	10			desconocido
45	tinbergen	8	49.45	114	0.27	198.13	68.12	5			desconocido
46	neuroticismo	9	55.63	129	0.30	196.90	76.53	5			desconocido
47	cognition	23	142.17	341	0.80	189.88	193.97	11			desconocido
48	cattell	12	74.18	179	0.42	188.64	101.05	7			desconocido
49	afrontamiento	21	129.81	314	0.74	188.16	176.74	9			desconocido
50	horney	9	55.63	136	0.32	186.04	75.55	5			desconocido
51	cognición	16	98.90	247	0.58	181.84	133.60	13			desconocido
52	terapeuta	137	846.83	2214	5.21	173.16	1131.10	34			desconocido
53	estresant	26	160.71	427	1.00	170.22	213.80	13			desconocido
54	disociativo	37	228.71	611	1.44	169.23	303.84	6			desconocido
55	psicoterapia	43	265.79	712	1.68	168.74	352.87	24			desconocido
56	neuroimagen	13	80.36	217	0.51	167.30	106.47	8			desconocido
57	subespecialidad	14	86.54	237	0.56	164.82	114.25	6			desconocido
58	freudiano	17	105.08	295	0.69	160.54	137.88	9			desconocido
59	estrés	15	92.72	265	0.62	157.52	121.11	10			desconocido
60	trastorno	64	395.60	1161	2.73	153.16	513.25	22			desconocido
61	pulsión	34	210.16	621	1.46	152.06	272.19	9			desconocido
62	isrs	20	123.63	366	0.86	151.75	160.03	6			desconocido
63	psicopatológico	8	49.45	147	0.35	151.10	63.95	5			desconocido
64	erikson	20	123.63	374	0.88	148.32	159.15	9			desconocido
65	psicoanalítico	62	383.24	1183	2.78	145.20	490.82	22			desconocido
66	inconsciente	61	377.06	1174	2.76	143.88	481.83	14			desconocido
67	constructo	37	228.71	714	1.68	143.48	292.06	18			desconocido
68	neuropsiquiatría	6	37.09	122	0.29	135.79	46.72	5	Q2699874	2	generico
69	freudián	15	92.72	307	0.72	134.86	116.60	11			desconocido
70	psicólogo	13	80.36	268	0.63	133.84	100.86	8			desconocido
71	libido	20	123.63	423	1.00	130.29	154.14	6			desconocido
72	neurosis	36	222.53	767	1.81	129.29	276.91	11			desconocido
73	behavioral	17	105.08	367	0.86	127.51	130.31	11			desconocido
74	interpersonal	85	525.41	1853	4.36	126.22	649.85	34			desconocido
75	psicosocial	35	216.34	765	1.80	125.87	267.40	22			desconocido
76	maslow	14	86.54	311	0.73	123.75	106.50	8			desconocido
77	clínico	10	61.81	229	0.54	119.88	75.45	9			desconocido
78	psicología	411	2540.50	9539	22.45	118.21	3089.97	96	Q9418	0	raiz_de_dominio
79	condicionamiento	40	247.25	942	2.22	116.42	299.55	18			desconocido
80	psicológica	15	92.72	355	0.84	115.82	112.18	8			desconocido
81	psychology	100	618.13	2370	5.58	115.65	747.58	35			desconocido
82	recaptación	20	123.63	502	1.18	108.93	147.19	8			desconocido
83	terapias	12	74.18	303	0.71	108.26	88.17	10			desconocido
84	comportamental	11	67.99	282	0.66	106.56	80.49	10			desconocido
85	autoeficacia	10	61.81	261	0.61	104.59	72.81	5			desconocido
86	ideación	10	61.81	266	0.63	102.55	72.42	7			desconocido
87	mentales	10	61.81	267	0.63	102.15	72.35	8			desconocido
88	freud	214	1322.79	5826	13.71	100.11	1539.86	37			desconocido
89	neurocientífico	12	74.18	330	0.78	99.07	86.10	9			desconocido
90	psychologie	18	111.26	496	1.17	98.86	129.08	8			desconocido
91	constructivista	23	142.17	637	1.50	98.34	164.70	10			desconocido
92	psicomotor	6	37.09	169	0.40	96.64	42.76	5			desconocido
93	tricíclico	9	55.63	258	0.61	94.89	63.82	7			desconocido
94	psicótico	37	228.71	1067	2.51	94.31	261.94	10			desconocido
95	evitación	19	117.44	567	1.33	91.02	133.20	9			desconocido
96	neurobiología	8	49.45	240	0.56	90.53	56.00	6			desconocido
97	autoestima	65	401.78	1984	4.67	88.92	452.74	20			desconocido
98	perceptual	9	55.63	281	0.66	86.87	62.28	7			desconocido
99	seligman	11	67.99	351	0.83	84.94	75.64	5			desconocido
100	serotonina	20	123.63	641	1.51	84.55	137.34	8			desconocido
101	trastornos	48	296.70	1557	3.66	83.51	328.47	27			desconocido
102	irritabilidad	14	86.54	456	1.07	83.15	95.69	8			desconocido
103	psychiatry	13	80.36	425	1.00	82.84	88.76	8			desconocido
104	neurociencia	24	148.35	789	1.86	82.36	163.59	14			desconocido
105	psychological	24	148.35	822	1.93	78.96	161.62	16			desconocido
106	trauma	30	185.44	1037	2.44	78.21	201.47	9			desconocido
107	neurótico	17	105.08	590	1.39	77.89	114.03	8			desconocido
108	síntomas	7	43.27	244	0.57	77.54	46.89	5			desconocido
109	impulsividad	7	43.27	245	0.58	77.21	46.83	5			desconocido
110	fenomenológico	18	111.26	636	1.50	76.46	120.09	12			desconocido
111	autodestructivo	9	55.63	322	0.76	75.49	59.82	7			desconocido
112	endocrino	14	86.54	501	1.18	75.47	93.05	7			desconocido
113	psicoanálisis	21	129.81	765	1.80	74.10	138.82	14	Q41630	1	muy_generico
114	bruner	12	74.18	439	1.03	73.78	79.23	8			desconocido
115	terapia	59	364.70	2167	5.10	73.48	389.06	17			desconocido
116	psicosis	28	173.08	1031	2.43	73.29	184.50	11			desconocido
117	interrelacionar	5	30.91	185	0.44	72.92	32.90	5			desconocido
118	autorrealización	8	49.45	298	0.70	72.42	52.53	6			desconocido
119	recaída	24	148.35	900	2.12	71.93	157.26	7			desconocido
120	reduccionismo	7	43.27	273	0.64	69.09	45.32	6			desconocido
121	psiquiatría	39	241.07	1526	3.59	68.85	252.24	20	Q7867	1	muy_generico
122	antipsicótico	8	49.45	319	0.75	67.53	51.44	5			desconocido
123	anormalidad	23	142.17	927	2.18	66.79	147.40	10			desconocido
124	internalizar	6	37.09	242	0.57	66.74	38.44	5			desconocido
125	epistemológica	6	37.09	249	0.59	64.82	38.10	5			desconocido
126	adaptativa	7	43.27	294	0.69	64.03	44.29	5			desconocido
127	psicoanalítica	10	61.81	422	0.99	63.72	63.17	6			desconocido
128	binet	6	37.09	254	0.60	63.51	37.86	5			desconocido
129	internalización	7	43.27	299	0.70	62.93	44.05	6			desconocido
130	sigmund	54	333.79	2340	5.51	62.01	338.27	28			desconocido
131	neurólogo	17	105.08	741	1.74	61.64	106.29	13			desconocido
