selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	farmacoterapéutico	11	95.93	32	0.08	1940.30	139.61	5			desconocido
2	qsar	9	78.49	37	0.09	1190.64	106.88	6			desconocido
3	espectroscopía	112	976.72	489	1.15	1100.46	1314.65	20			desconocido
4	farmacocinética	13	113.37	66	0.16	908.58	148.19	8			desconocido
5	spectroscopy	26	226.74	135	0.32	883.57	295.08	11			desconocido
6	calorimetría	8	69.77	42	0.10	871.58	90.60	5	Q634314	1	muy_generico
7	initio	26	226.74	140	0.33	844.82	292.99	5			desconocido
8	femtosegundo	13	113.37	78	0.18	740.84	143.40	6			desconocido
9	supramolecular	32	279.06	193	0.45	736.24	352.63	10			desconocido
10	tóxico	47	409.87	349	0.82	576.48	496.78	11			desconocido
11	espectroscopia	189	1648.21	1417	3.34	570.11	1993.79	40	Q483666	2	generico
12	analito	69	601.73	524	1.23	561.74	725.99	15			desconocido
13	fotoquímica	18	156.97	144	0.34	529.17	187.39	6	Q188651	2	generico
14	reactant	7	61.04	63	0.15	463.03	71.12	5			desconocido
15	espectrofotometría	10	87.21	93	0.22	446.29	100.91	8			desconocido
16	vibracional	31	270.34	289	0.68	445.08	312.66	11			desconocido
17	bioensayo	5	43.60	51	0.12	402.63	49.48	5			desconocido
18	difracción	148	1290.66	1519	3.58	399.87	1462.77	12			desconocido
19	desorción	9	78.49	95	0.22	387.65	88.42	5			desconocido
20	espectrometría	55	479.64	604	1.42	371.10	535.80	21			desconocido
21	reflectancia	17	148.25	201	0.47	342.24	162.99	5			desconocido
22	raman	53	462.20	657	1.55	325.04	502.93	8			desconocido
23	geoquímica	14	122.09	181	0.43	310.53	131.63	6	Q161764	1	muy_generico
24	absorbancia	13	113.37	184	0.43	281.61	119.79	6			desconocido
25	elucidación	10	87.21	142	0.33	280.62	92.08	5			desconocido
26	espectrofotómetro	10	87.21	143	0.34	278.51	91.93	6			desconocido
27	biomolécula	26	226.74	376	0.88	275.17	238.42	15			desconocido
28	fisicoquímica	11	95.93	162	0.38	269.84	100.46	6			desconocido
29	enzimología	5	43.60	74	0.17	268.42	45.61	5	Q2880775	3	especifico
30	proteómico	7	61.04	105	0.25	264.59	63.66	5			desconocido
31	bravais	6	52.32	91	0.21	261.47	54.43	6			desconocido
32	organometálico	34	296.50	521	1.23	258.61	307.72	7			desconocido
33	sincrotrón	26	226.74	405	0.95	254.11	234.44	7			desconocido
34	cristalografía	16	139.53	254	0.60	249.02	143.65	8	Q160398	2	generico
35	cristalográfico	20	174.41	320	0.75	246.95	179.24	7			desconocido
36	absorción	11	95.93	179	0.42	242.54	98.20	8			desconocido
37	estequiometría	11	95.93	189	0.44	228.91	96.97	6			desconocido
38	deslocalizado	9	78.49	161	0.38	219.33	78.59	5			desconocido
39	toxicología	31	270.34	558	1.31	217.89	270.32	14	Q7218	1	muy_generico
40	espectroscópico	50	436.03	907	2.13	216.12	435.21	27			desconocido
41	macromolécula	30	261.62	555	1.31	211.67	259.92	14			desconocido
42	farmacéutico	17	148.25	330	0.78	201.19	145.62	5	Q105186		desconocido
43	fluorescencia	57	497.08	1127	2.65	197.33	486.10	14			desconocido
44	espectrómetro	45	392.43	896	2.11	195.87	383.12	18			desconocido
