term	domain_count	domains
subdisciplina	9	ciencias_sociales,economia,fisica,ingenieria,lengua_y_linguistica,matematicas,medicina_y_biologia,psicologia,quimica
computacional	7	economia,fisica,informatica,ingenieria,lengua_y_linguistica,matematicas,quimica
cuantitativo	7	ciencias_sociales,economia,fisica,lengua_y_linguistica,matematicas,psicologia,quimica
subcampo	6	ciencias_sociales,economia,fisica,ingenieria,matematicas,quimica
teórico	6	ciencias_sociales,economia,fisica,matematicas,psicologia,quimica
analizar	5	economia,geologia,lengua_y_linguistica,matematicas,quimica
analítico	5	economia,fisica,matematicas,psicologia,quimica
aplicado	5	economia,fisica,geologia,matematicas,psicologia
biológico	5	ingenieria,matematicas,medioambiente,psicologia,quimica
correlación	5	fisica,geologia,matematicas,psicologia,quimica
cualitativo	5	ciencias_sociales,economia,matematicas,psicologia,quimica
empírico	5	ciencias_sociales,economia,fisica,psicologia,quimica
evolutivo	5	ciencias_sociales,economia,ingenieria,matematicas,psicologia
interacción	5	economia,fisica,geologia,ingenieria,psicologia
interdisciplinario	5	ciencias_sociales,economia,ingenieria,lengua_y_linguistica,psicologia
parámetro	5	fisica,ingenieria,matematicas,quimica,telecomunicaciones
razonamiento	5	ciencias_sociales,economia,lengua_y_linguistica,matematicas,psicologia
subjetivo	5	ciencias_sociales,derecho_y_legislacion,economia,lengua_y_linguistica,psicologia
supuesto	5	ciencias_sociales,derecho_y_legislacion,economia,fisica,matematicas
teoría	5	ciencias_sociales,economia,fisica,lengua_y_linguistica,matematicas
theory	5	ciencias_sociales,economia,fisica,lengua_y_linguistica,matematicas
análisis	4	economia,matematicas,psicologia,quimica
aproximación	4	economia,fisica,matematicas,quimica
bioinformática	4	informatica,matematicas,medicina_y_biologia,quimica
causalidad	4	ciencias_sociales,economia,fisica,psicologia
cognitivo	4	ciencias_sociales,economia,lengua_y_linguistica,psicologia
comparativo	4	ciencias_sociales,economia,lengua_y_linguistica,matematicas
comprensión	4	ciencias_sociales,fisica,lengua_y_linguistica,psicologia
constituyent	4	ciencias_sociales,fisica,lengua_y_linguistica,quimica
cristalino	4	fisica,geologia,medicina_y_biologia,quimica
detección	4	fisica,ingenieria,quimica,telecomunicaciones
disciplina	4	ciencias_sociales,economia,lengua_y_linguistica,psicologia
disciplinas	4	ciencias_sociales,fisica,geologia,medicina_y_biologia
electromagnético	4	fisica,ingenieria,quimica,telecomunicaciones
enfoque	4	ciencias_sociales,economia,lengua_y_linguistica,matematicas
espectral	4	fisica,matematicas,quimica,telecomunicaciones
estudiado	4	economia,fisica,matematicas,quimica
formulación	4	economia,fisica,matematicas,quimica
genómico	4	informatica,ingenieria,matematicas,medicina_y_biologia
hidrocarburo	4	fisica,geologia,ingenieria,quimica
maximizar	4	ciencias_sociales,economia,ingenieria,matematicas
metodología	4	economia,ingenieria,lengua_y_linguistica,psicologia
metodológico	4	ciencias_sociales,economia,lengua_y_linguistica,psicologia
neural	4	informatica,ingenieria,matematicas,psicologia
neurociencia	4	ciencias_sociales,lengua_y_linguistica,matematicas,psicologia
neuronal	4	informatica,lengua_y_linguistica,matematicas,psicologia
onda	4	fisica,geologia,ingenieria,quimica
optimización	4	economia,ingenieria,matematicas,quimica
predecir	4	economia,fisica,matematicas,quimica
procesamiento	4	informatica,lengua_y_linguistica,matematicas,telecomunicaciones
racional	4	ciencias_sociales,economia,matematicas,psicologia
silico	4	informatica,matematicas,medicina_y_biologia,quimica
terrestre	4	fisica,geologia,medioambiente,telecomunicaciones
tridimensional	4	fisica,geologia,matematicas,quimica
ángulo	4	fisica,geologia,matematicas,quimica
óptico	4	fisica,ingenieria,quimica,telecomunicaciones
