selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
1	moduladoro	32	599.90	86	0.20	4719.49	461.38	12			desconocido
2	keying	20	374.94	64	0.15	3620.07	279.83	11			desconocido
3	hamming	53	993.59	257	0.60	2069.12	690.65	7			desconocido
4	demodulador	16	299.95	79	0.19	2022.64	207.85	9			desconocido
5	radioafición	22	412.43	109	0.26	2013.92	285.63	6	Q185727		desconocido
6	modulación	61	1143.56	304	0.72	1999.23	791.17	16	Q170474	1	muy_generico
7	demodulación	10	187.47	63	0.15	1502.67	124.54	7			desconocido
8	multiplexación	13	243.71	91	0.21	1327.36	158.93	13			desconocido
9	radiocomunicación	37	693.64	316	0.74	1056.18	436.59	11	Q872	1	muy_generico
10	módem	12	224.96	122	0.29	868.82	137.18	10			desconocido
11	modulation	11	206.22	141	0.33	673.89	120.42	8			desconocido
12	tdma	9	168.72	179	0.42	421.63	90.37	5			desconocido
13	transceptor	12	224.96	255	0.60	393.29	118.87	5			desconocido
14	modulado	64	1199.81	1364	3.21	392.08	633.59	21			desconocido
15	telegrafía	35	656.14	785	1.85	371.66	342.85	6			desconocido
16	descodificar	6	112.48	135	0.32	370.43	58.73	5			desconocido
17	portadora	62	1162.31	1472	3.46	350.20	600.14	19			desconocido
18	radioeléctrico	15	281.20	383	0.90	324.63	142.97	9			desconocido
19	radiofrecuencia	43	806.12	1113	2.62	320.05	408.66	20			desconocido
20	decodificación	27	506.17	709	1.67	315.30	255.81	8			desconocido
21	gaussiano	13	243.71	350	0.82	307.22	122.51	6			desconocido
22	detector	6	112.48	163	0.38	304.36	56.43	5			desconocido
23	correction	5	93.73	151	0.36	272.74	45.95	5			desconocido
24	inalámbrica	34	637.40	1067	2.51	262.13	309.84	22			desconocido
25	desvanecimiento	13	243.71	447	1.05	238.56	116.07	5			desconocido
26	amplitud	8	149.98	281	0.66	233.38	71.08	6			desconocido
27	dígito	170	3186.98	6418	15.11	216.69	1485.71	12			desconocido
28	umts	13	243.71	495	1.17	214.80	113.39	7			desconocido
29	cuadratura	13	243.71	532	1.25	199.49	111.50	5			desconocido
30	paridad	71	1331.03	2988	7.03	193.85	604.96	9			desconocido
31	inalámbrico	84	1574.74	3651	8.59	187.55	710.27	27			desconocido
